binatang,동물,Binatang-binatang itu dilindungi di dalam kawasan konservasi.,그 동물들은 보전 지역 안에서 보호받고 있다.
kucing,고양이,Kucingnya suka tidur di atas sofa yang empuk.,그의 고양이는 푹신한 소fa 위에서 자는 것을 좋아한다.
anjing,개,Anjingnya selalu menyambut dengan gembira saat ia pulang.,그가 집에 돌아오면 개가 항상 기쁘게 맞이한다.
sapi,소,Sapi-sapi itu merumput dengan tenang di padang rumput.,소들이 초원에서 조용히 풀을 뜯고 있다.
kambing,염소,Kambing itu diternakkan untuk diambil susunya.,그 염소는 젖을 얻기 위해 사육되고 있다.
kuda,말(동물),Kuda itu berlari kencang melewati padang yang luas.,말이 넓은 평원을 가로질러 빠르게 달린다.
gajah,코끼리,Gajah Sumatera adalah salah satu hewan yang terancam punah.,수마트라 코끼리는 멸종 위기에 처한 동물 중 하나이다.
harimau,호랑이,Harimau adalah hewan yang sangat kuat dan berwibawa.,호랑이는 매우 강하고 위엄 있는 동물이다.
ular,뱀,Ular berbisa itu bersembunyi di balik semak-semak.,그 독사는 덤불 뒤에 숨어 있었다.
burung,새,Burung-burung berkicau merdu setiap pagi di taman.,새들이 매일 아침 정원에서 아름답게 지저귄다.
kupu-kupu,나비,Kupu-kupu terbang dari bunga ke bunga dengan lincah.,나비가 꽃에서 꽃으로 날렵하게 날아다닌다.
lebah,벌,Lebah mengumpulkan nektar dari bunga untuk membuat madu.,벌이 꿀을 만들기 위해 꽃에서 꿀을 모은다.
semut,개미,Semut-semut bekerja keras tanpa mengenal lelah.,개미들은 지칠 줄 모르고 열심히 일한다.
nyamuk,모기,Nyamuk adalah serangga kecil yang bisa membawa penyakit berbahaya.,모기는 위험한 질병을 옮길 수 있는 작은 곤충이다.
tikus,쥐,Tikus masuk ke dapur dan memakan makanan yang tersimpan.,쥐가 부엌에 들어와 보관된 음식을 먹었다.
kelelawar,박쥐,Kelelawar keluar mencari makan saat malam tiba.,박쥐는 밤이 되면 먹이를 찾아 나온다.
monyet,원숭이,Monyet-monyet itu berkeliaran bebas di hutan.,원숭이들이 숲속에서 자유롭게 돌아다닌다.
lumba-lumba,돌고래,Lumba-lumba adalah hewan laut yang sangat cerdas.,돌고래는 매우 영리한 해양 동물이다.
penyu,바다거북,Penyu bertelur di pantai setiap musim kawin.,바다거북은 짝짓기 철마다 해변에서 알을 낳는다.
domba,양,Kita adalah domba-domba gembalaannya.,우리는 그분이 기르시는 양들이다.
