Abraham,아브라함,Abraham percaya kepada Allah dan itu diperhitungkan sebagai kebenaran.,아브라함은 하나님을 믿었고 그것이 의로 여겨졌다.
Musa,모세,Musa memimpin bangsa Israel keluar dari Mesir.,모세는 이스라엘 백성을 이집트에서 이끌어 냈다.
Daud,다윗,Daud disebut sebagai orang yang berkenan di hati Allah.,다윗은 하나님의 마음에 합한 사람이라 불렸다.
Paulus,바울,Paulus menulis banyak surat kepada jemaat-jemaat perdana.,바울은 초대 교회들에게 많은 편지를 썼다.
Petrus,베드로,Petrus adalah salah satu murid terdekat Yesus.,베드로는 예수님의 가장 가까운 제자 중 한 명이었다.
Yohanes,요한,Yohanes menulis Injil dan kitab Wahyu.,요한은 복음서와 요한계시록을 기록했다.
Maria,마리아,Maria adalah ibu Yesus yang terpilih oleh Allah.,마리아는 하나님께 선택된 예수님의 어머니이다.
Yusuf,요셉,Yusuf taat kepada Allah meskipun menghadapi cobaan berat.,요셉은 심한 시련을 겪으면서도 하나님께 순종했다.
Elia,엘리야,Elia adalah nabi yang berani menghadapi raja Ahab.,엘리야는 아합 왕에 맞선 용감한 선지자이다.
Yesaya,이사야,Yesaya menubuatkan kedatangan Mesias dengan jelas.,이사야는 메시아의 오심을 명확하게 예언했다.
Yeremia,예레미야,Yeremia dikenal sebagai nabi yang banyak menangis.,예레미야는 많이 우는 선지자로 알려져 있다.
Daniel,다니엘,Daniel setia kepada Allah bahkan di istana raja asing.,다니엘은 이방 왕의 궁전에서도 하나님께 신실했다.
Tomas,도마,Tomas percaya setelah melihat bekas paku di tangan Yesus.,도마는 예수님 손의 못 자국을 본 후에 믿었다.
Stefanus,스데반,Stefanus adalah martir pertama dalam sejarah gereja.,스데반은 교회 역사상 첫 번째 순교자이다.
Barnabas,바나바,Barnabas mendampingi Paulus dalam perjalanan misi pertama.,바나바는 바울의 첫 번째 선교 여행에 동행했다.
Noach,노아,Noach adalah orang yang benar di matanya Allah.,노아는 하나님 보시기에 의로운 사람이었다.
Adam,아담,Adam adalah manusia pertama yang diciptakan Allah.,아담은 하나님이 창조하신 첫 번째 인간이다.
Hawa,하와,Hawa adalah penolong yang sepadan bagi Adam.,하와는 아담을 위한 돕는 배필이었다.
Salomo,솔로몬,Salomo dikenal sebagai raja yang paling bijaksana.,솔로몬은 가장 지혜로운 왕으로 알려져 있다.
Rut,룻,Rut setia mendampingi mertuanya Naomi.,룻은 시어머니 나오미를 신실하게 따랐다.
Ester,에스더,Ester berani tampil di hadapan raja demi bangsanya.,에스더는 민족을 위해 용감하게 왕 앞에 나섰다.
Ayub,욥,Ayub tetap setia kepada Allah di tengah penderitaan berat.,욥은 극심한 고통 속에서도 하나님께 신실했다.
Yunus,요나,Yunus berlari dari panggilan Tuhan namun akhirnya taat.,요나는 주님의 부름에서 도망쳤지만 결국 순종했다.
Nehemia,느헤미야,Nehemia memimpin pembangunan kembali tembok Yerusalem.,느헤미야는 예루살렘 성벽 재건을 이끌었다.
Ezra,에스라,Ezra membawa pembaruan rohani bagi bangsa Israel.,에스라는 이스라엘 민족에게 영적 갱신을 가져왔다.
Yosua,여호수아,Yosua memimpin Israel masuk ke tanah perjanjian.,여호수아는 이스라엘을 약속의 땅으로 이끌었다.
Simson,삼손,Simson menerima kekuatan luar biasa dari Tuhan.,삼손은 주님으로부터 놀라운 힘을 받았다.
Saul,사울,Saul adalah raja pertama bangsa Israel.,사울은 이스라엘 민족의 첫 번째 왕이었다.
Yakobus,야고보,Yakobus mengajarkan bahwa iman tanpa perbuatan adalah mati.,야고보는 행함 없는 믿음은 죽은 것이라고 가르쳤다.
Andreas,안드레,Andreas membawa saudaranya Petrus kepada Yesus.,안드레는 형제 베드로를 예수님께 데려왔다.
Hagar,하갈,Hagar bertemu dengan malaikat Allah di padang gurun.,하갈은 광야에서 하나님의 천사를 만났다.
Ishak,이삭,Ishak adalah anak perjanjian yang dijanjikan kepada Abraham.,이삭은 아브라함에게 약속된 언약의 아들이다.
