cinta,사랑,Cinta yang tulus tidak mengharapkan imbalan apa pun.,진정한 사랑은 아무런 대가를 기대하지 않는다.
rindu,그리움,Rindu kepada kampung halaman selalu ada di hatinya.,고향에 대한 그리움이 항상 그의 마음속에 있다.
kesedihan,슬픔,Kesedihannya terlihat dari tatapan matanya yang kosong.,그의 슬픔은 공허한 눈빛에서 드러난다.
kebahagiaan,행복,Kebahagiaan sejati bukan dari harta tetapi dari hati.,진정한 행복은 재물이 아니라 마음에서 온다.
kegembiraan,기쁨/즐거움,Kegembiraan terpancar dari wajahnya saat bertemu keluarga.,가족을 만났을 때 기쁨이 그의 얼굴에서 빛났다.
kemarahan,분노,Kemarahannya meledak saat mengetahui kebohongan itu.,그 거짓말을 알게 되자 그의 분노가 폭발했다.
kekhawatiran,걱정/염려,Kekhawatirannya tentang masa depan membuatnya stres.,미래에 대한 걱정이 그를 스트레스받게 만든다.
kesabaran,인내,Kesabaran adalah kunci keberhasilan dalam banyak hal.,인내는 많은 일에서 성공의 열쇠이다.
mimpi,꿈,Mimpinya adalah menjadi dokter yang melayani masyarakat.,그의 꿈은 사회에 봉사하는 의사가 되는 것이다.
impian,꿈/이상,Impiannya untuk keliling dunia akhirnya terwujud.,세계를 여행하고 싶은 그의 꿈이 마침내 이루어졌다.
tekanan,압박/스트레스,Tekanan pekerjaan membuatnya sering sakit kepala.,업무 압박이 그를 자주 두통에 시달리게 한다.
stres,스트레스,Stres berkepanjangan dapat merusak kesehatan.,장기적인 스트레스는 건강을 해칠 수 있다.
semangat,열정/의욕,Semangatnya untuk belajar tidak pernah padam.,배우려는 그의 열정은 결코 식지 않는다.
motivasi,동기/의욕,Motivasinya berasal dari keinginan untuk membantu orang lain.,그의 동기는 다른 사람을 돕고자 하는 바람에서 나온다.
keyakinan,확신/믿음,Keyakinannya kepada Tuhan memberinya kekuatan.,하나님에 대한 확신이 그에게 힘을 준다.
karakter,성품/성격,Karakter seseorang terlihat bukan dari ucapan tetapi dari tindakan.,사람의 성품은 말이 아닌 행동에서 드러난다.
kebiasaan,습관,Kebiasaan baik harus dibentuk sejak masa kecil.,좋은 습관은 어린 시절부터 형성되어야 한다.
kepribadian,인격/성격,Kepribadiannya yang hangat membuat banyak orang nyaman bersamanya.,그의 따뜻한 인격이 많은 사람들을 그와 함께 있을 때 편안하게 만든다.
kelemahan,약점/나약함,Ia tidak malu mengakui kelemahannya.,그는 자신의 약점을 인정하는 것을 부끄러워하지 않는다.
perhatian,관심/배려,Perhatian kecil yang tulus bisa mengubah hari seseorang.,진실한 작은 배려가 누군가의 하루를 바꿀 수 있다.
senyum,미소,Senyumnya mampu menghangatkan hati siapa pun.,그의 미소는 누구의 마음이든 따뜻하게 할 수 있다.
air mata,눈물,Air matanya mengalir saat mendengar lagu itu.,그 노래를 들을 때 눈물이 흘렀다.
tawa,웃음,Tawa anak-anak itu sungguh menyegarkan hati.,아이들의 웃음소리는 정말 마음을 상쾌하게 한다.
