sekarang,지금,Sekarang saya sedang belajar bahasa Indonesia.,나는 지금 인도네시아어를 공부하고 있다.
segera,곧/즉시,Tolong segera hubungi saya setelah tiba.,도착하면 즉시 연락해 주세요.
nanti,나중에/이따가,Kita akan bicara nanti setelah makan.,우리는 식사 후에 나중에 이야기할 것이다.
tadi,아까/방금 전에,Tadi saya melihat dia di pasar.,나는 아까 시장에서 그를 보았다.
kemarin,어제,Kemarin saya tidak masuk kerja karena sakit.,어제 나는 아파서 출근하지 않았다.
besok,내일,Besok kita akan pergi ke pantai bersama.,내일 우리는 함께 해변에 갈 것이다.
dulu,먼저/예전에,Makan dulu sebelum pergi.,가기 전에 먼저 먹어라.
masih,아직/여전히,Dia masih tinggal di kota yang sama.,그는 아직 같은 도시에 살고 있다.
sudah,이미/벌써,Saya sudah menyelesaikan tugas itu.,나는 그 과제를 이미 마쳤다.
belum,아직 ~않다,Dia belum tiba di sini.,그는 아직 여기 도착하지 않았다.
baru,방금/막,Saya baru saja pulang dari kantor.,나는 방금 회사에서 돌아왔다.
lagi,다시/또,Tolong ulangi lagi perkataan Anda.,당신이 한 말을 다시 반복해 주세요.
pernah,~한 적 있다,Saya pernah tinggal di Bali selama setahun.,나는 발리에서 1년간 산 적이 있다.
selalu,항상,Dia selalu datang tepat waktu.,그는 항상 정시에 온다.
sering,자주,Saya sering makan di restoran itu.,나는 그 식당에서 자주 먹는다.
kadang-kadang,가끔,Kadang-kadang saya berjalan kaki ke kantor.,나는 가끔 걸어서 회사에 간다.
jarang,드물게,Dia jarang menghubungi saya akhir-akhir ini.,그는 요즘 드물게 나에게 연락한다.
tidak pernah,전혀 ~않다/한 번도 ~않다,Saya tidak pernah pergi ke luar negeri.,나는 한 번도 해외에 간 적이 없다.
akhirnya,마침내/결국,Akhirnya dia berhasil lulus ujian itu.,마침내 그는 그 시험에 합격했다.
tiba-tiba,갑자기,Tiba-tiba hujan turun dengan deras.,갑자기 비가 세차게 내렸다.
sebentar,잠깐/잠시,Tunggu sebentar ya saya akan kembali.,잠깐 기다려요 곧 돌아올게요.
lama,오래/한참,Dia sudah lama menunggu di luar.,그는 밖에서 오래 기다렸다.
segera,곧바로/바로,Dia segera pergi setelah mendengar berita itu.,그는 그 소식을 듣고 곧바로 떠났다.
sangat,매우/아주,Makanan ini sangat enak sekali.,이 음식은 매우 맛있다.
sekali,매우/대단히 (뒤에 위치),Dia cantik sekali hari ini.,그녀는 오늘 매우 아름답다.
agak,좀/약간,Cuaca hari ini agak mendung.,오늘 날씨가 좀 흐리다.
cukup,꽤/충분히,Dia cukup pandai dalam matematika.,그는 수학에서 꽤 똑똑하다.
terlalu,너무/지나치게,Kopi ini terlalu pahit untukku.,이 커피는 나에게 너무 쓰다.
hampir,거의,Pekerjaan ini hampir selesai.,이 일은 거의 다 끝났다.
benar-benar,정말로/진짜로,Saya benar-benar tidak tahu hal itu.,나는 그 일을 정말로 몰랐다.
sungguh,진심으로/정말,Saya sungguh minta maaf atas kesalahan ini.,나는 이 실수에 대해 진심으로 사과드립니다.
bahkan,심지어/오히려,Bahkan anak kecil pun bisa melakukannya.,심지어 어린아이도 그것을 할 수 있다.
hanya,단지/오직,Saya hanya ingin istirahat sebentar.,나는 단지 잠깐 쉬고 싶다.
saja,~만/~뿐,Ambil satu saja jangan dua.,하나만 가져가고 둘은 안 된다.
paling,가장/제일,Dia adalah murid yang paling rajin di kelas.,그는 반에서 가장 성실한 학생이다.
lebih,더/더욱,Hari ini lebih panas dari kemarin.,오늘은 어제보다 더 덥다.
kurang,덜/부족하게,Masakan ini kurang garam rasanya.,이 요리는 맛에 소금이 덜 들어갔다.
kira-kira,대략/약,Jarak dari sini kira-kira dua kilometer.,여기서 거리는 대략 2킬로미터이다.
sekitar,약/대략,Ada sekitar seratus orang di sana.,그곳에 약 백 명의 사람이 있다.
nyaris,하마터면/거의,Dia nyaris jatuh karena lantai yang licin.,그는 미끄러운 바닥 때문에 하마터면 넘어질 뻔했다.
di sini,여기에/이곳에,Saya sudah tinggal di sini selama tiga tahun.,나는 이곳에서 3년째 살고 있다.
di sana,저기에/그곳에,Taruh barang itu di sana saja.,그 물건은 그냥 저기에 놓아라.
di mana,어디에,Di mana kamu meletakkan kuncinya?,너는 열쇠를 어디에 두었니?
ke sini,이리로/이쪽으로,Coba ke sini dulu ada yang ingin saya tunjukkan.,이리로 와봐 보여주고 싶은 게 있어.
ke sana,저리로/그쪽으로,Jangan ke sana sekarang masih berbahaya.,지금 그쪽으로 가지 마 아직 위험해.
di mana-mana,도처에/어디에나,Sampah berserakan di mana-mana.,쓰레기가 도처에 널려 있다.
di luar,밖에/외부에,Anak-anak bermain di luar rumah.,아이들이 집 밖에서 놀고 있다.
di dalam,안에/내부에,Kucing itu bersembunyi di dalam kotak.,그 고양이는 상자 안에 숨어 있다.
di atas,위에,Buku itu ada di atas meja.,그 책은 책상 위에 있다.
di bawah,아래에,Sepatunya ada di bawah tempat tidur.,신발은 침대 아래에 있다.
di depan,앞에,Parkir di depan gedung saja.,건물 앞에 주차하면 돼.
di belakang,뒤에,Ada taman kecil di belakang rumah.,집 뒤에 작은 정원이 있다.
di sebelah,옆에/곁에,Minimarket ada di sebelah apotek.,편의점은 약국 옆에 있다.
dengan cepat,빠르게,Dia berlari dengan cepat menuju garis finish.,그는 결승선을 향해 빠르게 달렸다.
dengan hati-hati,조심스럽게,Bawa barang itu dengan hati-hati jangan sampai pecah.,그 물건이 깨지지 않도록 조심스럽게 가져가라.
dengan mudah,쉽게,Soal itu bisa diselesaikan dengan mudah.,그 문제는 쉽게 풀 수 있다.
dengan serius,진지하게,Tolong tanggapi masalah ini dengan serius.,이 문제를 진지하게 다루어 주세요.
dengan jelas,명확하게,Tolong jelaskan dengan jelas apa yang kamu maksud.,당신이 의미하는 바를 명확하게 설명해 주세요.
dengan keras,세게/강하게,Dia mengetuk pintu dengan keras.,그는 문을 세게 두드렸다.
dengan pelan,천천히/부드럽게,Berbicara dengan pelan agar semua orang mendengar.,모든 사람이 들을 수 있도록 천천히 말해라.
secara langsung,직접적으로,Saya ingin berbicara secara langsung dengannya.,나는 그와 직접 이야기하고 싶다.
secara otomatis,자동으로,Pintu itu terbuka secara otomatis.,그 문은 자동으로 열린다.
secara bertahap,점진적으로,Kondisinya membaik secara bertahap.,그의 상태는 점진적으로 나아지고 있다.
bersama-sama,함께/같이,Mereka mengerjakan proyek itu bersama-sama.,그들은 그 프로젝트를 함께 진행했다.
sendiri,혼자/스스로,Dia pergi ke dokter sendiri tanpa ditemani siapapun.,그는 아무도 없이 혼자 병원에 갔다.
ya,예/그래,Ya saya setuju dengan pendapat Anda.,"예, 저는 당신의 의견에 동의합니다."
tidak,아니오/~않다,Saya tidak mau pergi ke sana.,나는 그곳에 가고 싶지 않다.
bukan,~이 아니다,Ini bukan milik saya melainkan milik dia.,이것은 내 것이 아니라 그의 것이다.
memang,정말/확실히/과연,Dia memang orang yang sangat berbakat.,그는 정말 매우 재능 있는 사람이다.
mungkin,아마도/~일지도,Mungkin dia sudah sampai di rumah sekarang.,아마도 그는 지금쯤 집에 도착했을 것이다.
pasti,분명히/반드시,Dia pasti akan datang ke pesta malam ini.,그는 오늘 밤 파티에 분명히 올 것이다.
tentu,물론/당연히,Tentu saya akan membantumu.,물론 내가 너를 도와줄게.
tentu saja,물론이지/당연하지,Tentu saja kita harus menghormati orang tua.,물론이지 우리는 부모님을 공경해야 한다.
sepertinya,~인 것 같다/아마,Sepertinya hari ini akan hujan.,오늘은 비가 올 것 같다.
kayaknya,~인 것 같다 (구어체),Kayaknya dia tidak akan datang hari ini.,그는 오늘 오지 않을 것 같다.
rupanya,알고 보니/~이었구나,Rupanya dia yang mengambil bukuku.,알고 보니 그가 내 책을 가져간 것이었다.
