penebusan,속죄/구속,Penebusan dosa kita telah dibayar lunas oleh Yesus.,우리 죄의 속죄는 예수님에 의해 완전히 치러졌다.
pembenaran,칭의,Pembenaran terjadi ketika kita percaya kepada Yesus.,칭의는 우리가 예수님을 믿을 때 일어난다.
pengudusan,성화,Pengudusan adalah proses menjadi semakin serupa Kristus.,성화는 점점 그리스도를 닮아 가는 과정이다.
Tritunggal,삼위일체,Tritunggal adalah doktrin utama iman Kristen.,삼위일체는 기독교 신앙의 핵심 교리이다.
kekekalan,영원,Kita percaya akan kehidupan yang penuh kekekalan.,우리는 영원한 생명을 믿는다.
penghakiman,심판,Setiap orang akan menghadapi penghakiman Tuhan.,모든 사람은 주님의 심판을 맞이할 것이다.
perjanjian,언약,Allah membuat perjanjian dengan umat-Nya.,하나님은 자기 백성과 언약을 맺으셨다.
nubuatan,예언,Nubuatan tentang Yesus sudah digenapi.,예수님에 관한 예언은 이미 성취되었다.
wahyu,계시,Allah menyatakan diri-Nya melalui wahyu.,하나님은 계시를 통해 자신을 나타내신다.
kesucian,거룩함,Kita dipanggil untuk hidup dalam kesucian.,우리는 거룩함 가운데 살도록 부름받았다.
karunia,은사/선물,Setiap orang percaya menerima karunia dari Roh Kudus.,모든 믿는 자는 성령으로부터 은사를 받는다.
penerang,조명자/빛을 주는 분,Roh Kudus adalah penerang hati dan pikiran kita.,성령님은 우리의 마음과 생각을 조명하시는 분이다.
tafsiran,주석/해석,Tafsiran Alkitab membantu kita memahami makna teks.,성경 주석은 본문의 의미를 이해하도록 도와준다.
predestinasi,예정,Predestinasi adalah doktrin yang sering diperdebatkan.,예정은 자주 논쟁되는 교리이다.
providensi,섭리,Providensi Allah bekerja dalam setiap aspek kehidupan.,하나님의 섭리는 삶의 모든 부분에서 일하신다.
inkarnasi,성육신,Inkarnasi adalah Allah yang menjadi manusia dalam diri Yesus.,성육신은 하나님이 예수 안에서 인간이 되신 것이다.
imanen,내재하신,Allah bukan hanya transenden tetapi juga imanen.,하나님은 초월하실 뿐만 아니라 내재하시기도 하다.
transenden,초월하신,Allah yang transenden melampaui segala pemahaman manusia.,초월하신 하나님은 모든 인간의 이해를 초월하신다.
omnipoten,전능하신,Allah yang omnipoten mampu melakukan segala sesuatu.,전능하신 하나님은 모든 것을 하실 수 있다.
omnisien,전지하신,Allah yang omnisien mengetahui segala sesuatu.,전지하신 하나님은 모든 것을 아신다.
omnipresent,편재하신,Allah yang omnipresent hadir di mana-mana sekaligus.,편재하신 하나님은 동시에 모든 곳에 계신다.
eskatologi,종말론,Eskatologi mempelajari hal-hal akhir zaman menurut Alkitab.,종말론은 성경에 따른 마지막 때의 일을 연구한다.
soteriologi,구원론,Soteriologi membahas doktrin keselamatan secara mendalam.,구원론은 구원의 교리를 깊이 다룬다.
ekklesiologi,교회론,Ekklesiologi mempelajari hakikat dan fungsi gereja.,교회론은 교회의 본질과 기능을 연구한다.
godaan,유혹,Godaan datang silih berganti dalam kehidupan kita.,유혹은 우리 삶에 번갈아 가며 찾아온다.
cobaan,시험/시련,Cobaan yang kita hadapi tidak melebihi kemampuan kita.,우리가 직면하는 시련은 우리의 능력을 넘지 않는다.
tobat nasional,국가적 회개,Tobat nasional diperlukan untuk pemulihan bangsa.,국가 회복을 위해 국가적 회개가 필요하다.
kekerasan hati,마음의 완악함,Kekerasan hati menghalangi seseorang dari mengenal Tuhan.,마음의 완악함은 사람이 하나님을 알지 못하게 막는다.
rekonsiliasi,화해,Salib membawa rekonsiliasi antara Allah dan manusia.,십자가는 하나님과 인간 사이에 화해를 가져왔다.
pemulihan,회복,Tuhan menjanjikan pemulihan bagi yang bertobat.,주님은 회개하는 자들에게 회복을 약속하신다.
kelahiran baru,거듭남,Kelahiran baru terjadi ketika seseorang menerima Yesus.,거듭남은 누군가 예수님을 영접할 때 일어난다.
kedatangan kedua,재림,Kita menantikan kedatangan kedua Kristus dengan penuh harap.,우리는 소망을 가지고 그리스도의 재림을 기다린다.
kiamat,종말/심판의 날,Kiamat adalah hari penghakiman terakhir di hadapan Allah.,종말은 하나님 앞에서의 마지막 심판의 날이다.
kebangkitan orang mati,죽은 자의 부활,Kebangkitan orang mati adalah janji iman Kristen.,죽은 자의 부활은 기독교 신앙의 약속이다.
langit baru bumi baru,새 하늘 새 땅,Tuhan menjanjikan langit baru bumi baru bagi umat-Nya.,주님은 자기 백성에게 새 하늘 새 땅을 약속하신다.
antiKristus,적그리스도,AntiKristus akan muncul pada akhir zaman.,적그리스도는 마지막 때에 나타날 것이다.
pengangkatan,휴거,Banyak orang Kristen menantikan pengangkatan sebelum masa kesusahan.,많은 기독교인이 환난 전 휴거를 기대한다.
masa kesusahan,대환난,Masa kesusahan adalah periode cobaan terbesar di akhir zaman.,대환난은 마지막 때에 가장 큰 시련의 기간이다.
urapan,기름 부음,Urapan Roh Kudus memperlengkapi kita untuk pelayanan.,성령의 기름 부음은 사역을 위해 우리를 갖추어 준다.
teologi,신학,Teologi membantu kita memahami Allah secara lebih mendalam.,신학은 우리가 하나님을 더 깊이 이해하도록 돕는다.
doktrin,교리,Doktrin Alkitab menjadi fondasi kehidupan Kristen.,성경의 교리는 기독교 삶의 토대가 된다.
kesempurnaan,완전함,Hanya Allah yang memiliki kesempurnaan sejati.,오직 하나님만이 참된 완전함을 가지고 계신다.
keilahian,신성,Keilahian Yesus tidak bisa diragukan lagi.,예수님의 신성은 더 이상 의심할 수 없다.
kemanusiaan,인성,Yesus memiliki keilahian dan kemanusiaan secara penuh.,예수님은 신성과 인성을 완전하게 가지고 계신다.
akhir zaman,마지막 때,Tanda-tanda akhir zaman sudah mulai terlihat.,마지막 때의 징조들이 이미 보이기 시작했다.
penyataan diri,자기 계시,Allah melakukan penyataan diri melalui Alkitab.,하나님은 성경을 통해 자기 계시를 하신다.
penciptaan,창조,Penciptaan alam semesta merupakan karya agung Allah.,우주 창조는 하나님의 위대한 작품이다.
