khotbah,설교,Khotbah hari ini sangat menguatkan iman saya.,오늘 설교는 내 믿음을 매우 강하게 해 주었다.
badai kehidupan,삶의 폭풍,Tuhan hadir bersama kita di tengah badai kehidupan.,주님은 삶의 폭풍 한가운데서 우리와 함께 계신다.
haleluya,할렐루야,Haleluya berarti pujilah Tuhan dalam bahasa Ibrani.,할렐루야는 히브리어로 주님을 찬양하라는 뜻이다.
amin,아멘,Kita mengucapkan amin sebagai tanda persetujuan atas doa.,우리는 기도에 동의하는 표시로 아멘이라고 말한다.
syalom,샬롬,Syalom adalah salam perdamaian dalam tradisi Ibrani.,샬롬은 히브리 전통에서 평화의 인사이다.
maranata,마라나타,Maranata berarti Tuhan kita datanglah dalam bahasa Aram.,마라나타는 아람어로 우리 주여 오시옵소서라는 뜻이다.
imanuel,임마누엘,Imanuel berarti Allah menyertai kita.,임마누엘은 하나님이 우리와 함께 계신다는 뜻이다.
hosana,호산나,Hosana berarti selamatkanlah kami yang diucapkan kepada Yesus.,호산나는 예수님께 드린 우리를 구원하소서라는 뜻이다.
gloria,영광송,Gloria in excelsis Deo berarti kemuliaan bagi Allah di tempat yang maha tinggi.,지극히 높은 곳에서는 하나님께 영광이라는 뜻이다.
sola scriptura,오직 성경,Sola scriptura adalah prinsip reformasi bahwa Alkitab adalah otoritas tertinggi.,오직 성경은 성경이 최고 권위라는 종교개혁 원리이다.
sola fide,오직 믿음,Sola fide menegaskan bahwa keselamatan hanya melalui iman.,오직 믿음은 구원이 오직 믿음을 통해서만 온다고 확언한다.
sola gratia,오직 은혜,Sola gratia menegaskan bahwa keselamatan adalah anugerah Allah semata.,오직 은혜는 구원이 순전히 하나님의 선물임을 확언한다.
solus Christus,오직 그리스도,Solus Christus menegaskan bahwa hanya Kristus yang menjadi perantara keselamatan.,오직 그리스도는 그리스도만이 구원의 중보자임을 확언한다.
soli Deo gloria,오직 하나님께 영광,Soli Deo gloria berarti seluruh hidup kita dipersembahkan hanya bagi kemuliaan Allah.,오직 하나님께 영광은 우리의 전 삶이 하나님의 영광을 위해 바쳐진다는 뜻이다.
