menyalakan,켜다,Tolong nyalakan lampu di ruangan ini.,이 방의 불을 켜 주세요.
mematikan,끄다,Jangan lupa matikan komputer sebelum pulang.,퇴근 전에 컴퓨터 끄는 걸 잊지 마세요.
mengecas,충전하다,Saya mengecas ponsel semalaman.,나는 밤새 스마트폰을 충전했다.
menekan,누르다,Tekan tombol ini untuk memulai mesin.,이 버튼을 눌러서 기계를 시작하세요.
menggeser,밀어서 옮기다/스와이프하다,Geser layar ke kanan untuk membuka kunci.,잠금 해제를 위해 화면을 오른쪽으로 스와이프하세요.
memindai,스캔하다,Dia memindai dokumen penting itu.,그는 중요한 서류를 스캔했다.
mencetak ulang,재인쇄하다,Tolong cetak ulang halaman yang rusak itu.,손상된 페이지를 다시 인쇄해 주세요.
menyalin,복사하다,Dia menyalin catatan temannya.,그는 친구의 필기를 복사했다.
menempel,붙이다,Dia menempel foto di dinding kamarnya.,그는 방 벽에 사진을 붙였다.
melepas,떼다/벗다,Tolong lepas sepatumu sebelum masuk.,들어오기 전에 신발을 벗어 주세요.
melipat,접다,Dia melipat surat sebelum dimasukkan ke amplop.,그는 편지를 봉투에 넣기 전에 접었다.
menggulung,말다/감다,Dia menggulung karpet agar mudah dipindahkan.,그는 카펫을 옮기기 쉽게 말았다.
merentangkan,펼치다/뻗다,Dia merentangkan tangannya lebar-lebar.,그는 두 팔을 넓게 뻗었다.
melipat gandakan,배증하다,Strategi ini melipat gandakan keuntungan mereka.,이 전략은 그들의 수익을 두 배로 늘렸다.
mengencangkan,조이다/단단히 하다,Dia mengencangkan baut yang longgar.,그는 느슨한 볼트를 조였다.
mengendurkan,느슨하게 하다,Tolong kendurkan tali yang terlalu kencang itu.,너무 팽팽한 줄을 느슨하게 해 주세요.
memutar,돌리다/틀다,Dia memutar musik keras-keras di kamarnya.,그는 방에서 음악을 크게 틀었다.
membalikkan,뒤집다,Dia membalikkan pancake saat sudah matang.,그는 팬케이크가 익자 뒤집었다.
mengocok,흔들다/섞다,Kocok botol ini sebelum diminum.,마시기 전에 이 병을 흔들어 주세요.
meniriskan,물기를 빼다,Niriskan sayuran setelah dicuci.,씻은 후 채소의 물기를 빼세요.
memanaskan,데우다/가열하다,Panaskan sup ini sebelum disajikan.,제공하기 전에 이 수프를 데우세요.
mendinginkan,식히다/냉각하다,Biarkan kue itu mendinginkan sebelum dipotong.,케이크를 자르기 전에 식히세요.
membekukan,얼리다,Dia membekukan sisa makanan untuk besok.,그는 남은 음식을 내일을 위해 얼렸다.
mencairkan,녹이다,Cairkan mentega di wajan dengan api kecil.,약한 불로 팬에서 버터를 녹이세요.
