kepala,머리,Kepalanya terasa pusing setelah bekerja seharian.,하루 종일 일하고 나서 머리가 어지럽다.
mata,눈,Matanya berbinar saat mendengar kabar baik itu.,그 좋은 소식을 듣자 눈이 반짝였다.
hidung,코,Hidungnya memerah karena kedinginan.,추위 때문에 코가 빨개졌다.
telinga,귀,Telinganya sangat peka terhadap suara-suara kecil.,그의 귀는 작은 소리에도 매우 민감하다.
mulut,입,Tutup mulutmu saat makan agar tidak terlihat tidak sopan.,먹을 때 입을 다물어야 예의 없어 보이지 않는다.
gigi,이/치아,Sikat gigi dua kali sehari agar tetap sehat.,건강을 유지하기 위해 하루에 두 번 이를 닦아라.
lidah,혀,Lidah bisa menjadi senjata yang berbahaya jika tidak dijaga.,혀는 조심하지 않으면 위험한 무기가 될 수 있다.
bibir,입술,Bibirnya bergetar saat ia menahan tangis.,울음을 참을 때 그의 입술이 떨렸다.
leher,목,Lehernya terasa kaku setelah tidur dengan posisi yang salah.,잘못된 자세로 잔 후 목이 뻐근하다.
bahu,어깨,Beban hidup ini terasa berat di bahunya.,삶의 짐이 그의 어깨에 무겁게 느껴진다.
tangan,손,Tangannya terulur untuk membantu orang yang jatuh.,넘어진 사람을 돕기 위해 그의 손이 뻗어졌다.
jari,손가락,Jarinya bergerak cepat saat mengetik di keyboard.,키보드를 칠 때 그의 손가락이 빠르게 움직인다.
kaki,발/다리,Kakinya lelah setelah berjalan jauh.,멀리 걷고 나서 발이 피곤하다.
lutut,무릎,Ia berlutut untuk berdoa dengan sungguh-sungguh.,그는 진심으로 기도하기 위해 무릎을 꿇었다.
dada,가슴,Dadanya terasa sesak saat mendengar berita duka itu.,그 슬픈 소식을 들었을 때 가슴이 답답하게 느껴졌다.
perut,배/복부,Perutnya berbunyi karena belum makan sejak pagi.,아침부터 아무것도 먹지 않아 배에서 소리가 난다.
punggung,등,Punggungnya sakit karena terlalu lama duduk.,너무 오래 앉아 있어서 등이 아프다.
jantung,심장,Jantungnya berdegup kencang saat bertemu orang itu.,그 사람을 만났을 때 심장이 세차게 뛰었다.
paru-paru,폐,Paru-paru adalah organ penting untuk bernapas.,폐는 호흡을 위한 중요한 기관이다.
darah,피/혈액,Darahnya berhenti mengalir setelah luka itu dibalut.,상처에 붕대를 감은 후 피가 멈췄다.
tulang,뼈,Tulangnya kuat karena rajin minum susu sejak kecil.,어릴 때부터 꾸준히 우유를 마셔서 뼈가 튼튼하다.
kulit,피부,Kulitnya sangat halus dan bersih terawat.,그의 피부는 매우 곱고 깨끗하게 관리되어 있다.
rambut,머리카락,Rambutnya panjang dan berkilau di bawah sinar matahari.,그녀의 머리카락은 햇빛 아래 길고 윤기 있게 빛난다.
wajah,얼굴,Wajahnya berseri-seri penuh sukacita.,그의 얼굴은 기쁨으로 환하게 빛난다.
napas,숨/호흡,Napasnya terasa lega setelah keluar dari ruangan pengap itu.,그 답답한 방에서 나온 후 숨이 후련하게 느껴졌다.
kesehatan,건강,Kesehatan adalah harta yang paling berharga.,건강은 가장 소중한 재산이다.
sehat,건강한,Saya ingin selalu sehat.,나는 항상 건강하고 싶다.
sakit,아픈/병든,Dia sedang sakit dan harus istirahat.,그는 아파서 쉬어야 한다.
lelah,피곤한,Saya sangat lelah setelah bekerja.,일한 후에 나는 매우 피곤하다.
tidur,자다,Anak itu tidur pukul delapan malam.,그 아이는 저녁 8시에 잔다.
bangun,일어나다,Saya bangun pagi setiap hari.,나는 매일 아침 일찍 일어난다.
mandi,샤워하다,Dia mandi dua kali sehari.,그는 하루에 두 번 샤워한다.
menghirup,들이마시다,Dia menghirup udara segar di pagi hari.,그는 아침에 신선한 공기를 들이마셨다.
menghembuskan,내쉬다,Dia menghembuskan napas panjang setelah lelah.,그는 피곤한 후 긴 숨을 내쉬었다.
menguap,하품하다,Dia menguap karena mengantuk.,그는 졸려서 하품을 했다.
bersin,재채기하다,Dia bersin berkali-kali karena flu.,그는 독감 때문에 여러 번 재채기를 했다.
batuk,기침하다,Anak itu batuk sejak kemarin.,그 아이는 어제부터 기침을 한다.
menelan,삼키다,Dia kesulitan menelan obat yang besar.,그는 큰 약을 삼키는 데 어려움을 겪었다.
mengunyah,씹다,Kunyah makananmu dengan baik sebelum ditelan.,삼키기 전에 음식을 잘 씹으세요.
meludah,침을 뱉다,Jangan meludah di sembarang tempat.,아무 곳에나 침을 뱉지 마세요.
berkedip,눈을 깜빡이다,Dia berkedip beberapa kali karena silau.,그는 눈부셔서 몇 번 눈을 깜빡였다.
menoleh,고개를 돌리다,Dia menoleh ketika namanya dipanggil.,이름이 불리자 그는 고개를 돌렸다.
membengkak,붓다/부어오르다,Kakinya membengkak setelah terkilir.,발목을 삔 후 발이 부어올랐다.
menyembuh,낫다/회복되다,Lukanya menyembuh dengan cepat berkat salep itu.,그 연고 덕분에 상처가 빨리 나았다.
berdenyut,맥박이 뛰다/욱신거리다,Kepalanya berdenyut hebat karena migrain.,편두통으로 머리가 심하게 욱신거렸다.
gemetar,떨리다,Tangannya gemetar saat menerima penghargaan.,상을 받을 때 그의 손이 떨렸다.
menggigil,오한이 나다/벌벌 떨다,Dia menggigil kedinginan di luar.,그는 밖에서 추위에 벌벌 떨었다.
berkeringat,땀을 흘리다,Dia berkeringat deras setelah olahraga.,그는 운동 후 땀을 흠뻑 흘렸다.
pingsan,기절하다,Dia pingsan karena terlalu lelah.,그는 너무 지쳐서 기절했다.
pulih,회복하다,Dia pulih dengan cepat setelah istirahat cukup.,그는 충분한 휴식 후 빠르게 회복했다.
