menanam,심다,Ayah menanam pohon di halaman.,아버지는 마당에 나무를 심었다.
menyiram,물을 주다,Jangan lupa menyiram tanaman setiap hari.,매일 식물에 물 주는 것을 잊지 마세요.
memanen,수확하다,Petani memanen padi dua kali setahun.,농부는 1년에 두 번 벼를 수확한다.
menggali,파다,Mereka menggali lubang untuk menanam pohon.,그들은 나무를 심기 위해 구멍을 팠다.
bertunas,싹이 트다,Biji itu mulai bertunas setelah tiga hari.,씨앗이 3일 후 싹이 트기 시작했다.
mekar,꽃이 피다,Bunga mawar itu mekar dengan indah.,그 장미꽃이 아름답게 피었다.
layu,시들다,Bunga itu layu karena tidak disiram.,물을 주지 않아 그 꽃이 시들었다.
rontok,떨어지다/빠지다,Daun-daun rontok di musim gugur.,가을에 나뭇잎이 떨어진다.
sawah,논,Hamparan sawah yang hijau sangat menenangkan pandangan.,초록빛 논밭의 풍경은 시야를 매우 편안하게 한다.
kebun,정원/밭,Kebun belakang rumahnya penuh dengan sayuran segar.,그의 뒤뜰 밭은 신선한 채소로 가득하다.
ladang,밭/농지,Para petani mengolah ladang mereka setiap hari.,농부들은 매일 그들의 밭을 경작한다.
pohon,나무,Pohon beringin itu sangat rindang dan memberikan keteduhan.,그 반얀 나무는 매우 울창하여 그늘을 드리운다.
daun,잎,Daun-daun gugur melayang perlahan di angin sepoi-sepoi.,낙엽들이 산들바람에 천천히 날리며 떨어진다.
bunga,꽃,Bunga mawar merah itu mekar indah di taman.,그 붉은 장미꽃이 정원에서 아름답게 피어났다.
akar,뿌리,Akar pohon itu menghujam jauh ke dalam tanah.,그 나무의 뿌리는 땅속 깊이 박혀 있다.
rumput,풀/잔디,Rumput halaman depan dipotong setiap minggu.,앞마당 잔디는 매주 깎인다.
biji,씨앗/씨,Biji yang kecil itu akan tumbuh menjadi pohon yang besar.,그 작은 씨앗이 자라서 큰 나무가 될 것이다.
lumut,이끼,Lumut hijau menutupi batu-batu di tepi sungai.,초록색 이끼가 강가의 돌들을 덮고 있다.
bambu,대나무,Bambu adalah tanaman yang tumbuh sangat cepat.,대나무는 매우 빠르게 자라는 식물이다.
rotan,등나무/등(籐),Kursi dari rotan itu terasa ringan dan nyaman.,등나무로 만든 의자는 가볍고 편안하다.
pohon kelapa,야자나무,Pohon kelapa menjulang tinggi di tepi pantai.,야자나무가 해변가에 높이 솟아 있다.
padi,벼,Padi yang menguning menandakan musim panen telah tiba.,노랗게 익은 벼는 수확 철이 왔음을 알린다.
pisang,바나나,Pisang adalah buah yang paling banyak dikonsumsi di Indonesia.,바나나는 인도네시아에서 가장 많이 소비되는 과일이다.
kelapa,코코넛,Kelapa muda sangat menyegarkan di hari yang panas.,어린 코코넛은 더운 날에 매우 시원하다.
mangga,망고,Mangga harum itu dipetik langsung dari pohon di halaman.,그 향기로운 망고는 마당의 나무에서 직접 땄다.
nangka,잭프루트,Nangka matang memiliki aroma yang sangat kuat dan manis.,익은 잭프루트는 매우 강하고 달콤한 향기를 풍긴다.
durian,두리안,Durian adalah raja buah yang memiliki rasa unik.,두리안은 독특한 맛을 지닌 과일의 왕이다.
rambutan,람부탄,Rambutan yang segar sangat manis dan menyegarkan.,신선한 람부탄은 매우 달콤하고 상쾌하다.
jambu,구아바/잠부,Jambu biji kaya akan vitamin C yang baik untuk tubuh.,구아바는 몸에 좋은 비타민 C가 풍부하다.
singkong,카사바/고구마,Singkong adalah bahan makanan pokok di beberapa daerah.,카사바는 일부 지역에서 주식 재료이다.
ubi,고구마,Ubi rebus adalah camilan sederhana yang mengenyangkan.,삶은 고구마는 배를 채워주는 간단한 간식이다.
jagung,옥수수,Jagung bakar selalu harum dan menggugah selera.,구운 옥수수는 항상 향기롭고 식욕을 돋운다.
kacang,콩/땅콩,Kacang goreng adalah camilan favorit saat menonton film.,볶은 콩/땅콩은 영화 볼 때 즐겨 먹는 간식이다.
tanaman,식물,Tanaman hijau membuat ruangan terasa lebih segar dan hidup.,초록 식물이 방을 더 상쾌하고 생기 있게 만든다.
benih,씨앗/종자,Benih yang baik akan menghasilkan tanaman yang subur.,좋은 종자는 무성한 식물을 만들어 낸다.
petani,농부,Petani itu bekerja keras di sawah sejak subuh.,그 농부는 새벽부터 논에서 열심히 일한다.
lebat,울창한/무성한,Hutan di pulau itu sangat lebat.,그 섬의 숲은 매우 울창하다.
kedelai,콩/대두,Tempe dibuat dari kedelai yang difermentasi.,템페는 발효시킨 콩으로 만든다.
tebu,사탕수수,Petani itu memanen tebu bulan ini.,그 농부는 이번 달에 사탕수수를 수확한다.
cengkeh,정향,Cengkeh dari Maluku terkenal di dunia.,말루쿠산 정향은 세계적으로 유명하다.
lada,후추 (열매·작물),Lada ditanam di kebun belakang rumah.,후추는 집 뒤 밭에 심는다.
kelapa sawit,기름야자,Perkebunan kelapa sawit sangat luas di Sumatra.,수마트라의 기름야자 농장은 아주 넓다.
karet,고무 (나무·수액),Pohon karet disadap setiap pagi.,고무나무는 매일 아침 수액을 받는다.
manggis,망고스틴,Manggis manis dan sedikit asam.,망고스틴은 달고 약간 시다.
salak,살락 (뱀 껍질 과일),Kulit salak mirip sisik ular.,살락 껍질은 뱀 비늘을 닮았다.
pepaya,파파야,Pepaya baik untuk pencernaan.,파파야는 소화에 좋다.
nanas,파인애플,Nanas ini manis sekali.,이 파인애플은 아주 달다.
semangka,수박,Semangka paling segar saat musim panas.,수박은 여름에 가장 시원하다.
bertani,농사짓다,Keluarganya bertani sejak dulu.,그의 가족은 예로부터 농사를 지었다.
panen,수확/수확기,Panen tahun ini lebih baik dari tahun lalu.,올해 수확이 작년보다 낫다.
memupuk,거름을 주다,Petani memupuk sawahnya dua kali setahun.,농부는 일 년에 두 번 논에 거름을 준다.
pupuk,비료,Harga pupuk naik setiap tahun.,비료 값이 해마다 오른다.
bibit,모종/씨모,Bibit padi disemai di petak kecil.,볍씨 모종은 작은 모판에 뿌린다.
cangkul,괭이,Dia mengambil cangkul dari gudang.,그는 창고에서 괭이를 꺼냈다.
musim tanam,파종기/심는 철,Musim tanam dimulai saat hujan pertama.,파종기는 첫비가 올 때 시작된다.
hama,병충해/해충,Hama merusak sebagian tanaman padi.,병충해가 벼 일부를 망쳤다.
subur,비옥한,Tanah di daerah ini sangat subur.,이 지역 땅은 아주 비옥하다.
ranting,잔가지,Ranting kering itu dipakai untuk api unggun.,그 마른 잔가지는 모닥불에 쓴다.
tunas,새싹,Tunas baru muncul setelah hujan.,비가 온 뒤 새싹이 돋았다.
getah,수액/진액,Getah pohon karet ditampung dalam mangkuk.,고무나무 수액을 그릇에 받는다.
