belajar,공부하다,Mereka belajar bahasa Indonesia di kampus.,그들은 대학에서 인도네시아어를 공부한다.
mengajar,가르치다,Ibu itu mengajar matematika di sekolah.,그 선생님은 학교에서 수학을 가르친다.
pelajaran,수업/과목,Pelajaran matematika adalah pelajaran favoritnya di sekolah.,수학 수업은 학교에서 그가 가장 좋아하는 과목이다.
baru,새로운,Saya membeli sepatu baru.,나는 새 신발을 샀다.
baru,방금/막,Saya baru saja pulang dari kantor.,나는 방금 회사에서 돌아왔다.
memperbarui,갱신하다/업데이트하다,Jangan lupa memperbarui aplikasinya.,앱을 업데이트하는 것을 잊지 마세요.
memperbaharui,새롭게 하다,Mereka memperbaharui perjanjian kerja sama.,그들은 협력 협정을 새롭게 갱신했다.
pembaruan,갱신/새롭게 함,Pembaruan akal budi diperlukan untuk mengenal kehendak Allah.,하나님의 뜻을 알기 위해 마음의 갱신이 필요하다.
percaya,믿다/신뢰하다,Percayalah kepada Tuhan dengan segenap hatimu.,온 마음으로 주님을 신뢰하라.
mempercayai,믿다/신뢰하다,Saya mempercayai kata-katanya sepenuhnya.,나는 그의 말을 완전히 믿는다.
mempercayakan,맡기다/위탁하다,Mempercayakan hidupmu kepada Tuhan adalah tindakan iman.,삶을 주님께 맡기는 것은 믿음의 행동이다.
kepercayaan,믿음/신뢰,Kepercayaan itu dibangun dari waktu ke waktu.,신뢰는 시간이 쌓이면서 형성된다.
rasa,느낌/맛,Rasa syukur itu membuat hatinya semakin damai.,감사의 느낌이 그의 마음을 더욱 평온하게 만든다.
merasa,느끼다,Saya merasa senang hari ini.,나는 오늘 기분이 좋다.
perasaan,감정/느낌,Perasaannya campur aduk saat menerima berita itu.,그 소식을 받았을 때 그의 감정은 뒤섞여 있었다.
rasanya,느끼기에/생각건대,Rasanya tidak mungkin dia melakukan hal itu.,생각건대 그가 그 일을 했을 리가 없다.
takut,두려워하다,Anak itu takut pada kegelapan.,그 아이는 어둠을 두려워한다.
ketakutan,두려움,Ketakutan itu membuatnya tidak bisa tidur semalam suntuk.,그 두려움이 그를 밤새 잠 못 들게 했다.
penakut,겁쟁이인/소심한,Jangan bersikap penakut dalam mengambil keputusan.,결정을 내릴 때 소심하게 굴지 마라.
berani,용감한,Prajurit itu sangat berani.,그 군인은 매우 용감하다.
keberanian,용기,Keberanian bukan berarti tidak takut melainkan tetap melangkah meski takut.,용기는 두렵지 않다는 뜻이 아니라 두렵더라도 계속 나아가는 것이다.
pemberani,용감한/담대한,Pejuang itu sangat pemberani di medan perang.,그 전사는 전쟁터에서 매우 용감했다.
kuat,강한,Dia memiliki tubuh yang kuat.,그는 강한 몸을 가지고 있다.
kekuatan,강함/힘,Kekuatan sejati datang dari dalam diri dan dari Tuhan.,진정한 힘은 내면과 하나님으로부터 온다.
menguatkan,강하게 하다,Tuhan menguatkan kita ketika kita merasa lemah.,우리가 약하다고 느낄 때 주님이 우리를 강하게 하신다.
berharap,바라다/희망하다,Saya berharap kamu sehat selalu.,당신이 항상 건강하기를 바란다.
harapan,희망/기대,Harapan yang kuat membuatnya terus berjuang.,강한 희망이 그를 계속 분투하게 만든다.
pengharapan,소망/희망,Pengharapan kita ada di dalam Tuhan.,우리의 소망은 주님 안에 있다.
rendah,낮은,Suhu hari ini sangat rendah.,오늘 기온이 매우 낮다.
rendah hati,겸손한,Pemimpin yang baik selalu rendah hati.,좋은 지도자는 항상 겸손하다.
merendahkan,낮추다/비하하다,Jangan merendahkan kemampuan diri sendiri.,자신의 능력을 스스로 낮추지 마세요.
merendahkan diri,자신을 낮추다,Kita harus merendahkan diri di hadapan Tuhan.,우리는 주님 앞에서 자신을 낮추어야 한다.
kerendahan hati,겸손,Yesus adalah teladan sempurna dalam kerendahan hati.,예수님은 겸손의 완전한 본보기이시다.
jalan,길,Yesus adalah satu-satunya jalan menuju Bapa.,예수님은 아버지께 나아가는 유일한 길이시다.
berjalan,걷다,Kami berjalan ke sekolah bersama.,우리는 함께 학교까지 걸어간다.
perjalanan,여정/여행,Perjalanan hidup ini penuh dengan kejutan yang tak terduga.,이 삶의 여정은 예상치 못한 놀라움으로 가득하다.
kasih,사랑/자애,Kasih seorang ibu tidak pernah habis untuk anaknya.,어머니의 자애는 자녀를 위해 결코 다함이 없다.
mengasihi,사랑하다,Yesus memerintahkan kita untuk mengasihi sesama.,예수님은 우리에게 이웃을 사랑하라고 명하셨다.
belas kasihan,긍휼/자비,Tuhan penuh dengan belas kasihan bagi yang menderita.,주님은 고통받는 자들을 향한 긍휼이 가득하시다.
bertemu,만나다,Kita bisa bertemu di kafe besok.,내일 카페에서 만날 수 있어요.
menemukan,발견하다,Dia menemukan dompet di jalan.,그는 길에서 지갑을 발견했다.
penemuan,발견/발명,Penemuan vaksin telah menyelamatkan jutaan jiwa.,백신의 발명은 수백만 명의 생명을 구했다.
