baik,좋은/착한,Dia adalah orang yang baik.,그는 좋은 사람이다.
buruk,나쁜,Cuaca hari ini sangat buruk.,오늘 날씨가 매우 나쁘다.
senang,기쁜/즐거운,Saya merasa sangat senang hari ini.,나는 오늘 매우 기쁘다.
sedih,슬픈,Dia terlihat sangat sedih.,그녀는 매우 슬퍼 보인다.
marah,화난,Ayah sedang marah kepadaku.,아버지가 나에게 화가 나셨다.
takut,두려운/무서운,Anak itu takut pada kegelapan.,그 아이는 어둠을 무서워한다.
berani,용감한,Prajurit itu sangat berani.,그 군인은 매우 용감하다.
malu,부끄러운,Dia merasa malu di depan banyak orang.,그는 많은 사람들 앞에서 부끄러움을 느꼈다.
sombong,거만한/오만한,Orang yang sombong tidak disukai siapapun.,거만한 사람은 누구에게도 사랑받지 못한다.
rendah hati,겸손한,Pemimpin yang baik selalu rendah hati.,좋은 지도자는 항상 겸손하다.
besar,큰,Rumah itu sangat besar.,그 집은 매우 크다.
kecil,작은,Kucing itu sangat kecil.,그 고양이는 매우 작다.
panjang,긴,Sungai ini sangat panjang.,이 강은 매우 길다.
pendek,짧은/키가 작은,Rambutnya sangat pendek.,그녀의 머리카락은 매우 짧다.
tinggi,높은/키가 큰,Gedung itu sangat tinggi.,그 건물은 매우 높다.
rendah,낮은,Suhu hari ini sangat rendah.,오늘 기온이 매우 낮다.
lebar,넓은,Jalan ini sangat lebar.,이 길은 매우 넓다.
sempit,좁은,Lorong itu sangat sempit.,그 골목은 매우 좁다.
tebal,두꺼운,Buku ini sangat tebal.,이 책은 매우 두껍다.
tipis,얇은,Kertas ini sangat tipis.,이 종이는 매우 얇다.
merah,빨간,Mawar itu berwarna merah.,그 장미는 빨간색이다.
biru,파란,Langit hari ini sangat biru.,오늘 하늘이 매우 파랗다.
hijau,초록,Daun pohon itu berwarna hijau.,그 나무의 잎은 초록색이다.
kuning,노란,Bunga itu berwarna kuning.,그 꽃은 노란색이다.
putih,하얀,Salju itu berwarna putih.,눈은 하얀색이다.
hitam,검은,Kucing hitam itu lucu sekali.,그 검은 고양이는 정말 귀엽다.
coklat,갈색,Anjingnya berbulu coklat.,그 개는 갈색 털을 가졌다.
abu-abu,회색,Langit terlihat abu-abu sebelum hujan.,비가 오기 전에 하늘이 회색으로 보인다.
ungu,보라색,Bunga lavender berwarna ungu.,라벤더 꽃은 보라색이다.
oranye,주황색,Jeruk itu berwarna oranye.,그 귤은 주황색이다.
panas,뜨거운/더운,Cuaca di sini sangat panas.,이곳 날씨는 매우 덥다.
dingin,차가운/추운,Air ini sangat dingin.,이 물은 매우 차갑다.
