masih,아직/여전히,Dia masih tinggal di kota yang sama.,그는 아직 같은 도시에 살고 있다.
sudah,이미/벌써,Saya sudah menyelesaikan tugas itu.,나는 그 과제를 이미 마쳤다.
belum,아직 ~않다,Dia belum tiba di sini.,그는 아직 여기 도착하지 않았다.
lagi,다시/또,Tolong ulangi lagi perkataan Anda.,당신이 한 말을 다시 반복해 주세요.
pernah,~한 적 있다,Saya pernah tinggal di Bali selama setahun.,나는 발리에서 1년간 산 적이 있다.
selalu,항상,Dia selalu datang tepat waktu.,그는 항상 정시에 온다.
sering,자주,Saya sering makan di restoran itu.,나는 그 식당에서 자주 먹는다.
kadang-kadang,가끔,Kadang-kadang saya berjalan kaki ke kantor.,나는 가끔 걸어서 회사에 간다.
tidak pernah,전혀 ~않다/한 번도 ~않다,Saya tidak pernah pergi ke luar negeri.,나는 한 번도 해외에 간 적이 없다.
jarang,드문/희박한,Hujan salju sangat jarang terjadi di Indonesia.,눈은 인도네시아에서 매우 드물게 온다.
sesekali,때때로/이따금,Sesekali kita perlu beristirahat dari rutinitas.,때때로 우리는 일상에서 쉴 필요가 있다.
sewaktu-waktu,언제든지/수시로,Bahaya bisa datang sewaktu-waktu tanpa peringatan.,위험은 경고 없이 언제든지 올 수 있다.
setiap hari,매일,Setiap hari dia berolahraga selama tiga puluh menit.,그는 매일 30분씩 운동한다.
setiap minggu,매주,Setiap minggu kami berkumpul untuk makan bersama.,매주 우리는 함께 식사하기 위해 모인다.
setiap saat,항시/언제나,Roh Kudus ada bersama kita setiap saat.,성령님은 항시 우리와 함께 계신다.
rutin,규칙적인/정기적인,Olahraga rutin sangat baik untuk kesehatan.,규칙적인 운동은 건강에 매우 좋다.
mendadak,갑작스러운,Kepergiannya yang mendadak mengejutkan semua orang.,그의 갑작스러운 떠남은 모든 사람을 놀라게 했다.
tiba-tiba,갑자기 일어나는,Hujan tiba-tiba turun saat kami sedang jalan-jalan.,우리가 산책하는 중에 비가 갑자기 내렸다.
terus,계속/계속해서,Terus berjalan jangan berhenti di sini.,계속 걸어가 여기서 멈추지 마.
terus-menerus,계속해서/끊임없이,Dia terus-menerus menghubungi saya seharian.,그는 하루 종일 계속해서 나에게 연락했다.
berulang kali,여러 번/반복해서,Saya sudah berulang kali mengingatkannya.,나는 그에게 여러 번 반복해서 상기시켜 주었다.
dengan cepat,빠르게,Dia berlari dengan cepat menuju garis finish.,그는 결승선을 향해 빠르게 달렸다.
dengan hati-hati,조심스럽게,Bawa barang itu dengan hati-hati jangan sampai pecah.,그 물건이 깨지지 않도록 조심스럽게 가져가라.
dengan mudah,쉽게,Soal itu bisa diselesaikan dengan mudah.,그 문제는 쉽게 풀 수 있다.
dengan serius,진지하게,Tolong tanggapi masalah ini dengan serius.,이 문제를 진지하게 다루어 주세요.
dengan jelas,명확하게,Tolong jelaskan dengan jelas apa yang kamu maksud.,당신이 의미하는 바를 명확하게 설명해 주세요.
dengan keras,세게/강하게,Dia mengetuk pintu dengan keras.,그는 문을 세게 두드렸다.
dengan pelan,천천히/부드럽게,Berbicara dengan pelan agar semua orang mendengar.,모든 사람이 들을 수 있도록 천천히 말해라.
secara langsung,직접적으로,Saya ingin berbicara secara langsung dengannya.,나는 그와 직접 이야기하고 싶다.
secara otomatis,자동으로,Pintu itu terbuka secara otomatis.,그 문은 자동으로 열린다.
secara bertahap,점진적으로,Kondisinya membaik secara bertahap.,그의 상태는 점진적으로 나아지고 있다.
bersama-sama,함께/같이,Mereka mengerjakan proyek itu bersama-sama.,그들은 그 프로젝트를 함께 진행했다.
memang,정말/확실히/과연,Dia memang orang yang sangat berbakat.,그는 정말 매우 재능 있는 사람이다.
mungkin,아마도/~일지도,Mungkin dia sudah sampai di rumah sekarang.,아마도 그는 지금쯤 집에 도착했을 것이다.
pasti,분명히/반드시,Dia pasti akan datang ke pesta malam ini.,그는 오늘 밤 파티에 분명히 올 것이다.
tentu,물론/당연히,Tentu saya akan membantumu.,물론 내가 너를 도와줄게.
tentu saja,물론이지/당연하지,Tentu saja kita harus menghormati orang tua.,물론이지 우리는 부모님을 공경해야 한다.
sepertinya,~인 것 같다/아마,Sepertinya hari ini akan hujan.,오늘은 비가 올 것 같다.
kayaknya,~인 것 같다 (구어체),Kayaknya dia tidak akan datang hari ini.,그는 오늘 오지 않을 것 같다.
rupanya,알고 보니/~이었구나,Rupanya dia yang mengambil bukuku.,알고 보니 그가 내 책을 가져간 것이었다.
ternyata,알고 보니/사실은,Ternyata dia sudah tahu tentang hal itu.,알고 보니 그는 그 일에 대해 이미 알고 있었다.
sebenarnya,사실은/원래는,Sebenarnya saya tidak setuju dengan keputusan itu.,사실은 나는 그 결정에 동의하지 않는다.
sebetulnya,사실은/솔직히,Sebetulnya ada sesuatu yang ingin saya sampaikan.,솔직히 말씀드리고 싶은 게 있습니다.
langsung,바로/직접,Saya langsung pulang setelah rapat selesai.,나는 회의가 끝난 후 바로 집에 갔다.
jelas,분명히/확실히,Dia jelas berbohong kepada kita semua.,그는 분명히 우리 모두에게 거짓말을 했다.
perlahan,천천히/서서히,Dia perlahan membuka pintu itu.,그는 천천히 그 문을 열었다.
khususnya,특히/특별히,Dia suka musik khususnya jazz.,그는 음악을 좋아하는데 특히 재즈를 좋아한다.
umumnya,일반적으로/보통,Umumnya toko tutup pada hari Minggu.,일반적으로 가게들은 일요일에 문을 닫는다.
biasanya,보통/대개,Biasanya saya bangun pukul enam pagi.,나는 보통 오전 여섯 시에 일어난다.
terutama,특히/주로,Saya suka buah terutama mangga dan durian.,나는 과일을 좋아하는데 특히 망고와 두리안을 좋아한다.
nyatanya,실제로/사실상,Nyatanya tidak semua orang bisa melakukan hal itu.,실제로 모든 사람이 그 일을 할 수 있는 것은 아니다.
faktanya,사실,Faktanya angka kemiskinan masih cukup tinggi.,사실 빈곤율은 아직 꽤 높다.
ironisnya,아이러니하게도,Ironisnya dia justru gagal di bidang yang paling dikuasainya.,아이러니하게도 그는 가장 잘 하는 분야에서 오히려 실패했다.
sayangnya,아쉽게도/안타깝게도,Sayangnya tiket konser itu sudah habis terjual.,아쉽게도 그 콘서트 티켓은 이미 다 팔렸다.
untungnya,다행히도,Untungnya tidak ada korban dalam kecelakaan itu.,다행히도 그 사고에서 부상자가 없었다.
celakanya,불행히도/공교롭게도,Celakanya dia tiba tepat saat acara selesai.,공교롭게도 그는 행사가 끝나는 바로 그때 도착했다.
anehnya,이상하게도,Anehnya tidak seorang pun mendengar suara itu.,이상하게도 아무도 그 소리를 듣지 못했다.
secara perlahan,서서히/천천히,Kondisi ekonomi membaik secara perlahan.,경제 상황이 서서히 나아지고 있다.
secara mendalam,심층적으로/깊이,Kita perlu membahas masalah ini secara mendalam.,우리는 이 문제를 깊이 논의할 필요가 있다.
secara khusus,특별히/특수하게,Ruangan ini dirancang secara khusus untuk anak berkebutuhan.,이 방은 특별한 필요가 있는 아이들을 위해 특별히 설계되었다.
secara tidak sengaja,우연히/실수로,Saya secara tidak sengaja menghapus file penting itu.,나는 실수로 그 중요한 파일을 삭제했다.
secara sadar,의식적으로/의도적으로,Dia secara sadar memilih untuk tidak hadir.,그는 의도적으로 참석하지 않기로 선택했다.
dengan sungguh-sungguh,진지하게/성실하게,Kerjakan setiap tugas dengan sungguh-sungguh.,모든 과제를 성실하게 해라.
dengan terpaksa,어쩔 수 없이/마지못해,Dia dengan terpaksa menerima keputusan itu.,그는 마지못해 그 결정을 받아들였다.
dengan sukarela,자발적으로,Banyak orang membantu dengan sukarela saat bencana.,재난 때 많은 사람들이 자발적으로 도움을 주었다.
dengan teliti,꼼꼼하게/세심하게,Periksa dokumen itu dengan teliti sebelum ditandatangani.,서명하기 전에 그 서류를 꼼꼼하게 확인해라.
dengan tepat,정확하게,Jawab pertanyaan itu dengan tepat dan singkat.,그 질문에 정확하고 간결하게 답해라.
dengan lantang,큰 소리로/또렷하게,Dia membaca puisi itu dengan lantang di depan kelas.,그는 반 앞에서 그 시를 큰 소리로 읽었다.
dengan sabar,인내심 있게,Guru itu menjelaskan dengan sabar kepada murid-muridnya.,그 선생님은 학생들에게 인내심 있게 설명했다.
dengan bangga,자랑스럽게,Dia menerima penghargaan itu dengan bangga.,그는 그 상을 자랑스럽게 받았다.
