bekerja,일하다,Ayah bekerja di kantor setiap hari.,아버지는 매일 사무실에서 일한다.
memimpin,이끌다/지도하다,Dia memimpin timnya dengan bijaksana.,그는 팀을 지혜롭게 이끌었다.
merancang,설계하다/계획하다,Arsitek itu merancang gedung baru.,그 건축가는 새 건물을 설계했다.
merencanakan,계획하다,Kami merencanakan liburan ke Bali.,우리는 발리 여행을 계획하고 있다.
melaksanakan,실행하다,Mereka melaksanakan program dengan baik.,그들은 프로그램을 잘 실행했다.
mengembangkan,개발하다,Perusahaan itu mengembangkan produk baru.,그 회사는 새 제품을 개발했다.
menghasilkan,생산하다/만들어내다,Pabrik ini menghasilkan ribuan produk per hari.,이 공장은 하루에 수천 개의 제품을 생산한다.
bernegosiasi,협상하다,Kedua pihak bernegosiasi selama berjam-jam.,양측은 몇 시간 동안 협상했다.
berkolaborasi,협력하다,Dua perusahaan berkolaborasi dalam proyek ini.,두 회사가 이 프로젝트에서 협력했다.
bersaing,경쟁하다,Mereka bersaing ketat untuk merebut juara pertama.,그들은 1위를 차지하기 위해 치열하게 경쟁했다.
berpartisipasi,참여하다,Semua siswa berpartisipasi dalam lomba itu.,모든 학생이 그 대회에 참여했다.
memimpin rapat,회의를 진행하다,Dia memimpin rapat dengan tenang dan tegas.,그는 차분하고 단호하게 회의를 진행했다.
mempresentasikan,발표하다,Dia mempresentasikan hasil penelitiannya di depan dewan.,그는 위원회 앞에서 연구 결과를 발표했다.
mengawasi,감독하다/감시하다,Pengawas mengawasi jalannya ujian dengan ketat.,감독관이 시험 진행을 엄격하게 감독했다.
menginspeksi,점검하다,Petugas menginspeksi kondisi gedung secara rutin.,담당자가 건물 상태를 정기적으로 점검했다.
pekerjaan,직업/일,Pekerjaannya membuatnya sibuk dari pagi hingga malam.,그의 일이 아침부터 밤까지 그를 바쁘게 만든다.
kantor,사무실/회사,Kantor barunya terletak di pusat kota yang strategis.,그의 새 사무실은 전략적인 도심에 위치해 있다.
pegawai,직원/사원,Pegawai baru itu bekerja dengan penuh semangat dan dedikasi.,그 신입 직원은 열정과 헌신으로 일한다.
nelayan,어부,Nelayan itu melaut setiap hari untuk menghidupi keluarganya.,그 어부는 가족을 부양하기 위해 매일 바다로 나간다.
pengusaha,기업인/사업가,Pengusaha muda itu berhasil membangun bisnisnya dari nol.,그 젊은 사업가는 맨손에서 사업을 일구는 데 성공했다.
karyawan,직원/사원,Karyawan perusahaan itu mendapat bonus akhir tahun.,그 회사 직원은 연말 보너스를 받았다.
manajer,매니저/관리자,Manajernya selalu mendukung ide-ide kreatif dari timnya.,그의 매니저는 항상 팀의 창의적인 아이디어를 지지한다.
pemimpin,지도자/리더,Pemimpin yang baik melayani bukan memerintah.,좋은 지도자는 군림하지 않고 섬긴다.
wartawan,기자,Wartawan itu meliput berita dari daerah konflik yang berbahaya.,그 기자는 위험한 분쟁 지역의 뉴스를 취재했다.
penulis,작가,Penulis itu menghabiskan waktu berjam-jam untuk menyempurnakan tulisannya.,그 작가는 글을 완성하기 위해 몇 시간씩 시간을 보낸다.
atlet,운동선수,Atlet itu berlatih keras setiap hari untuk meraih prestasi.,그 운동선수는 성취를 이루기 위해 매일 열심히 훈련한다.
chef,요리사,Chef berbintang itu menciptakan menu baru yang menakjubkan.,그 스타 셰프는 놀라운 새 메뉴를 만들어 냈다.
arsitek,건축가,Arsitek itu merancang gedung yang indah dan fungsional.,그 건축가는 아름답고 기능적인 건물을 설계했다.
insinyur,엔지니어,Insinyur muda itu berhasil memecahkan masalah teknis yang rumit.,그 젊은 엔지니어는 복잡한 기술 문제를 해결하는 데 성공했다.
ilmuwan,과학자,Ilmuwan itu mendedikasikan hidupnya untuk penelitian.,그 과학자는 연구에 자신의 삶을 바쳤다.
profesional,전문적인,Dia bekerja dengan cara yang sangat profesional.,그는 매우 전문적인 방식으로 일한다.
