alam,자연,Keindahan alam Indonesia sungguh memukau dunia.,인도네시아 자연의 아름다움은 정말 세계를 매혹시킨다.
gunung,산,Gunung Rinjani adalah salah satu gunung paling indah di Indonesia.,린자니 산은 인도네시아에서 가장 아름다운 산 중 하나이다.
bukit,언덕,Mereka mendaki bukit itu untuk menikmati pemandangan matahari terbenam.,그들은 석양을 즐기기 위해 그 언덕을 올랐다.
lembah,계곡/골짜기,Lembah yang hijau itu tampak seperti lukisan yang hidup.,그 초록빛 계곡은 살아있는 그림처럼 보인다.
pantai,해변/해안,Pantai Bali terkenal dengan pasirnya yang putih dan bersih.,발리 해변은 하얗고 깨끗한 모래로 유명하다.
laut,바다,Laut biru yang luas membentang di hadapannya.,광활한 파란 바다가 그의 앞에 펼쳐졌다.
sungai,강,Anak-anak bermain di tepi sungai yang jernih itu.,아이들이 그 맑은 강가에서 놀고 있다.
danau,호수,Danau Toba adalah danau vulkanik terbesar di dunia.,토바 호수는 세계에서 가장 큰 화산 호수이다.
hutan,숲/정글,Hutan hujan tropis Indonesia menjadi paru-paru dunia.,인도네시아의 열대 우림은 지구의 폐가 된다.
padang,평원/들판,Padang rumput yang luas membentang sejauh mata memandang.,넓은 초원이 눈이 닿는 곳까지 펼쳐져 있다.
pulau,섬,Indonesia terdiri dari lebih dari tujuh belas ribu pulau.,"인도네시아는 17,000개 이상의 섬으로 이루어져 있다."
batu,돌/바위,Batu besar itu sudah berdiri di sana selama berabad-abad.,그 큰 바위는 수백 년 동안 그곳에 서 있었다.
pasir,모래,Pasir pantai itu halus dan berwarna putih.,그 해변의 모래는 곱고 하얀색이다.
tanah,흙/땅,Tanah di sini sangat subur untuk bercocok tanam.,이곳의 흙은 농사짓기에 매우 비옥하다.
air terjun,폭포,Air terjun itu sangat tinggi dan mengeluarkan suara yang menggelegar.,그 폭포는 매우 높고 우렁찬 소리를 낸다.
gua,동굴,Gua itu menyimpan stalaktit yang sangat indah di dalamnya.,그 동굴 안에는 매우 아름다운 종유석이 간직되어 있다.
tebing,절벽,Tebing curam itu menjadi tantangan bagi para pendaki.,그 가파른 절벽은 등산객들에게 도전이 된다.
rawa,늪/습지,Rawa-rawa itu menjadi habitat bagi berbagai jenis burung.,그 습지는 다양한 종류의 새들의 서식지가 된다.
gersang,황량한/메마른,Tanah gersang itu sulit untuk ditanami.,그 메마른 땅은 농사짓기가 어렵다.
kolam,연못/수영장,Anak-anak itu berenang di kolam renang yang jernih.,아이들이 맑은 수영장에서 수영하고 있다.
gunung berapi,화산,Gunung berapi itu masih aktif dan dipantau setiap saat.,그 화산은 아직 활성 상태이며 항상 감시된다.
gempa,지진,Gempa bumi itu terasa kuat hingga membuat rumah bergetar.,그 지진은 집이 흔들릴 정도로 강하게 느껴졌다.
banjir,홍수,Banjir melanda kota itu setelah hujan tiga hari berturut-turut.,사흘 연속 비 끝에 그 도시에 홍수가 덮쳤다.
gelombang,파도/물결,Gelombang besar menghantam karang dengan keras.,큰 파도가 바위에 세차게 부딪혔다.
angin,바람,Angin sepoi-sepoi berhembus menyejukkan suasana.,산들바람이 불어 분위기를 시원하게 한다.
hujan,비,Hujan deras turun tiba-tiba membasahi jalanan.,갑자기 폭우가 쏟아져 길을 적셨다.
petir,천둥번개,Petir menyambar pohon besar di tepi jalan itu.,번개가 길가의 큰 나무를 내리쳤다.
awan,구름,Awan putih berarak di langit biru yang cerah.,흰 구름들이 맑고 푸른 하늘에 흘러가고 있다.
matahari,태양/해,Matahari terbenam dengan warna jingga yang memukau.,해가 매혹적인 주황빛으로 지고 있다.
bulan,달,Bulan purnama menerangi malam dengan cahayanya yang lembut.,보름달이 부드러운 빛으로 밤을 밝힌다.
bintang,별,Bintang-bintang bersinar terang di langit malam yang cerah.,별들이 맑은 밤하늘에서 밝게 빛나고 있다.
langit,하늘,Langit sore itu berwarna merah dan jingga yang indah.,그 저녁 하늘은 아름다운 붉은색과 주황색이다.
pelangi,무지개,Pelangi muncul setelah hujan deras reda.,폭우가 그친 후 무지개가 나타났다.
kabut,안개,Kabut tebal menyelimuti kota di pagi hari.,짙은 안개가 아침에 도시를 뒤덮었다.
salju,눈(雪),Ia belum pernah melihat salju secara langsung.,그는 아직 직접 눈을 본 적이 없다.
