alam,자연,Keindahan alam Indonesia sungguh memukau dunia.,인도네시아 자연의 아름다움은 정말 세계를 매혹시킨다.
gunung,산,Gunung Rinjani adalah salah satu gunung paling indah di Indonesia.,린자니 산은 인도네시아에서 가장 아름다운 산 중 하나이다.
bukit,언덕,Mereka mendaki bukit itu untuk menikmati pemandangan matahari terbenam.,그들은 석양을 즐기기 위해 그 언덕을 올랐다.
lembah,계곡/골짜기,Lembah yang hijau itu tampak seperti lukisan yang hidup.,그 초록빛 계곡은 살아있는 그림처럼 보인다.
pantai,해변/해안,Pantai Bali terkenal dengan pasirnya yang putih dan bersih.,발리 해변은 하얗고 깨끗한 모래로 유명하다.
laut,바다,Laut biru yang luas membentang di hadapannya.,광활한 파란 바다가 그의 앞에 펼쳐졌다.
sungai,강,Anak-anak bermain di tepi sungai yang jernih itu.,아이들이 그 맑은 강가에서 놀고 있다.
danau,호수,Danau Toba adalah danau vulkanik terbesar di dunia.,토바 호수는 세계에서 가장 큰 화산 호수이다.
hutan,숲/정글,Hutan hujan tropis Indonesia menjadi paru-paru dunia.,인도네시아의 열대 우림은 지구의 폐가 된다.
padang,평원/들판,Padang rumput yang luas membentang sejauh mata memandang.,넓은 초원이 눈이 닿는 곳까지 펼쳐져 있다.
pulau,섬,Indonesia terdiri dari lebih dari tujuh belas ribu pulau.,인도네시아는 17,000개 이상의 섬으로 이루어져 있다.
batu,돌/바위,Batu besar itu sudah berdiri di sana selama berabad-abad.,그 큰 바위는 수백 년 동안 그곳에 서 있었다.
pasir,모래,Pasir pantai itu halus dan berwarna putih.,그 해변의 모래는 곱고 하얀색이다.
tanah,흙/땅,Tanah di sini sangat subur untuk bercocok tanam.,이곳의 흙은 농사짓기에 매우 비옥하다.
air terjun,폭포,Air terjun itu sangat tinggi dan mengeluarkan suara yang menggelegar.,그 폭포는 매우 높고 우렁찬 소리를 낸다.
gua,동굴,Gua itu menyimpan stalaktit yang sangat indah di dalamnya.,그 동굴 안에는 매우 아름다운 종유석이 간직되어 있다.
tebing,절벽,Tebing curam itu menjadi tantangan bagi para pendaki.,그 가파른 절벽은 등산객들에게 도전이 된다.
sawah,논,Hamparan sawah yang hijau sangat menenangkan pandangan.,초록빛 논밭의 풍경은 시야를 매우 편안하게 한다.
kebun,정원/밭,Kebun belakang rumahnya penuh dengan sayuran segar.,그의 뒤뜰 밭은 신선한 채소로 가득하다.
ladang,밭/농지,Para petani mengolah ladang mereka setiap hari.,농부들은 매일 그들의 밭을 경작한다.
pohon,나무,Pohon beringin itu sangat rindang dan memberikan keteduhan.,그 반얀 나무는 매우 울창하여 그늘을 드리운다.
daun,잎,Daun-daun gugur melayang perlahan di angin sepoi-sepoi.,낙엽들이 산들바람에 천천히 날리며 떨어진다.
bunga,꽃,Bunga mawar merah itu mekar indah di taman.,그 붉은 장미꽃이 정원에서 아름답게 피어났다.
akar,뿌리,Akar pohon itu menghujam jauh ke dalam tanah.,그 나무의 뿌리는 땅속 깊이 박혀 있다.
rumput,풀/잔디,Rumput halaman depan dipotong setiap minggu.,앞마당 잔디는 매주 깎인다.
biji,씨앗/씨,Biji yang kecil itu akan tumbuh menjadi pohon yang besar.,그 작은 씨앗이 자라서 큰 나무가 될 것이다.
lumut,이끼,Lumut hijau menutupi batu-batu di tepi sungai.,초록색 이끼가 강가의 돌들을 덮고 있다.
bambu,대나무,Bambu adalah tanaman yang tumbuh sangat cepat.,대나무는 매우 빠르게 자라는 식물이다.
rotan,등나무/등(籐),Kursi dari rotan itu terasa ringan dan nyaman.,등나무로 만든 의자는 가볍고 편안하다.
angin,바람,Angin sepoi-sepoi berhembus menyejukkan suasana.,산들바람이 불어 분위기를 시원하게 한다.
hujan,비,Hujan deras turun tiba-tiba membasahi jalanan.,갑자기 폭우가 쏟아져 길을 적셨다.
petir,천둥번개,Petir menyambar pohon besar di tepi jalan itu.,번개가 길가의 큰 나무를 내리쳤다.
awan,구름,Awan putih berarak di langit biru yang cerah.,흰 구름들이 맑고 푸른 하늘에 흘러가고 있다.
matahari,태양/해,Matahari terbenam dengan warna jingga yang memukau.,해가 매혹적인 주황빛으로 지고 있다.
bulan,달,Bulan purnama menerangi malam dengan cahayanya yang lembut.,보름달이 부드러운 빛으로 밤을 밝힌다.
