Noach,노아,Noach adalah orang yang benar di matanya Allah.,노아는 하나님 보시기에 의로운 사람이었다.
Adam,아담,Adam adalah manusia pertama yang diciptakan Allah.,아담은 하나님이 창조하신 첫 번째 인간이다.
Hawa,하와,Hawa adalah penolong yang sepadan bagi Adam.,하와는 아담을 위한 돕는 배필이었다.
Salomo,솔로몬,Salomo dikenal sebagai raja yang paling bijaksana.,솔로몬은 가장 지혜로운 왕으로 알려져 있다.
Rut,룻,Rut setia mendampingi mertuanya Naomi.,룻은 시어머니 나오미를 신실하게 따랐다.
Ester,에스더,Ester berani tampil di hadapan raja demi bangsanya.,에스더는 민족을 위해 용감하게 왕 앞에 나섰다.
Ayub,욥,Ayub tetap setia kepada Allah di tengah penderitaan berat.,욥은 극심한 고통 속에서도 하나님께 신실했다.
Yunus,요나,Yunus berlari dari panggilan Tuhan namun akhirnya taat.,요나는 주님의 부름에서 도망쳤지만 결국 순종했다.
Nehemia,느헤미야,Nehemia memimpin pembangunan kembali tembok Yerusalem.,느헤미야는 예루살렘 성벽 재건을 이끌었다.
Ezra,에스라,Ezra membawa pembaruan rohani bagi bangsa Israel.,에스라는 이스라엘 민족에게 영적 갱신을 가져왔다.
Yosua,여호수아,Yosua memimpin Israel masuk ke tanah perjanjian.,여호수아는 이스라엘을 약속의 땅으로 이끌었다.
Simson,삼손,Simson menerima kekuatan luar biasa dari Tuhan.,삼손은 주님으로부터 놀라운 힘을 받았다.
Saul,사울,Saul adalah raja pertama bangsa Israel.,사울은 이스라엘 민족의 첫 번째 왕이었다.
Yakobus,야고보,Yakobus mengajarkan bahwa iman tanpa perbuatan adalah mati.,야고보는 행함 없는 믿음은 죽은 것이라고 가르쳤다.
Andreas,안드레,Andreas membawa saudaranya Petrus kepada Yesus.,안드레는 형제 베드로를 예수님께 데려왔다.
Mesir,이집트/애굽,Bangsa Israel dibebaskan dari perbudakan di Mesir.,이스라엘 민족은 이집트의 노예 생활에서 해방되었다.
Sinai,시내산,Musa menerima sepuluh perintah Allah di gunung Sinai.,모세는 시내산에서 하나님의 십계명을 받았다.
Yordania,요단강,Yesus dibaptis di sungai Yordania oleh Yohanes.,예수님은 요한에게 요단강에서 세례를 받으셨다.
