ayah,아버지,Ayahnya bekerja keras untuk menghidupi keluarga.,아버지는 가족을 부양하기 위해 열심히 일한다.
ibu,어머니,Ibunya selalu menyiapkan sarapan sebelum pergi ke kantor.,어머니는 직장에 가기 전에 항상 아침밥을 준비한다.
anak,아이/자녀,Anaknya tumbuh menjadi anak yang sopan dan rajin.,그의 아이는 예의 바르고 부지런한 아이로 자랐다.
kakak,형/오빠/누나/언니,Kakaknya selalu membantunya mengerjakan pekerjaan rumah.,형/언니는 항상 그가 숙제하는 것을 도와준다.
adik,동생,Adiknya baru saja masuk sekolah dasar tahun ini.,동생은 올해 막 초등학교에 입학했다.
suami,남편,Suaminya sangat perhatian dan pengertian.,그녀의 남편은 매우 다정하고 이해심이 깊다.
istri,아내,Istrinya adalah wanita yang sabar dan penuh kasih.,그의 아내는 인내심 있고 사랑스러운 여성이다.
kakek,할아버지,Kakeknya masih sehat meskipun sudah berusia delapan puluh tahun.,할아버지는 여든 살이지만 아직 건강하시다.
nenek,할머니,Neneknya sering bercerita tentang masa kecilnya dulu.,할머니는 어린 시절 이야기를 자주 해주신다.
paman,삼촌/아저씨,Pamannya datang berkunjung dari luar kota.,삼촌이 지방에서 방문하러 왔다.
bibi,이모/고모/아주머니,Bibinya membuatkan kue ulang tahun yang lezat.,이모가 맛있는 생일 케이크를 만들어 주었다.
saudara,형제/친척,Mereka adalah saudara yang sangat akrab satu sama lain.,그들은 서로 매우 친밀한 형제이다.
keluarga,가족,Keluarganya selalu berkumpul setiap hari raya.,그의 가족은 명절마다 항상 모인다.
teman,친구,Temannya sudah dikenalnya sejak masa kecil.,그의 친구는 어린 시절부터 알고 지낸 사이다.
sahabat,절친한 친구,Sahabat sejati selalu ada di saat susah maupun senang.,진정한 절친은 힘들 때나 즐거울 때나 항상 곁에 있다.
tetangga,이웃,Tetangganya sangat ramah dan suka membantu.,그의 이웃은 매우 친절하고 잘 도와준다.
pasangan,짝/배우자,Pasangannya mendukung setiap keputusan yang ia buat.,그의 배우자는 그가 내리는 모든 결정을 지지한다.
kenalan,아는 사람/지인,Ia bertemu dengan kenalan lamanya di pasar.,그는 시장에서 오래된 지인을 만났다.
musuh,적/원수,Mengampuni musuh adalah tanda kekuatan sejati.,원수를 용서하는 것은 진정한 강함의 표시이다.
hubungan,관계,Hubungan mereka semakin erat seiring berjalannya waktu.,그들의 관계는 시간이 지나면서 점점 더 깊어졌다.
sesama,이웃,Yesus mengajarkan kita untuk mengasihi sesama seperti diri sendiri.,예수님은 자신처럼 이웃을 사랑하라고 가르치셨다.
menikah,결혼하다,Mereka menikah di sebuah gereja yang indah.,그들은 아름다운 교회에서 결혼했다.
melahirkan,출산하다,Ibu melahirkan bayi laki-laki yang sehat.,어머니는 건강한 남자 아이를 낳았다.
bapak,아버지/어르신,Bapak saya bekerja sebagai petani.,제 아버지는 농부로 일하십니다.
mama,엄마 (친근),Mama sedang memasak di dapur.,엄마는 부엌에서 요리하고 계신다.
papa,아빠 (친근),Papa mengantar saya ke sekolah tadi pagi.,아빠가 오늘 아침 저를 학교에 데려다주셨어요.
orang tua,부모님,Saya tinggal bersama orang tua saya.,저는 부모님과 함께 삽니다.
putra,아들 (격식),Putra sulungnya sudah bekerja di Jakarta.,그의 맏아들은 이미 자카르타에서 일한다.
putri,딸 (격식),Putri mereka baru masuk sekolah dasar.,그들의 딸은 막 초등학교에 들어갔다.
abang,형/오빠 (수마트라·자카르타),Abang saya bekerja sebagai sopir taksi.,제 형은 택시 기사로 일합니다.
cucu,손주,Nenek sangat sayang kepada cucunya.,할머니는 손주를 매우 아끼신다.
anak sulung,맏이/장남,Sebagai anak sulung dia harus membantu orang tua.,맏이로서 그는 부모님을 도와야 한다.
anak bungsu,막내,Anak bungsu mereka masih berumur lima tahun.,그들의 막내는 아직 다섯 살이다.
anak tunggal,외동,Dia anak tunggal jadi tidak punya saudara.,그는 외동이라 형제가 없다.
kembar,쌍둥이의,Kedua anak itu kembar dan sangat mirip.,그 두 아이는 쌍둥이라 아주 닮았다.
bayi,아기,Bayi itu tertidur di gendongan ibunya.,그 아기는 어머니 품에 안겨 잠들었다.
