di luar,밖에/외부에,Anak-anak bermain di luar rumah.,아이들이 집 밖에서 놀고 있다.
di dalam,안에/내부에,Kucing itu bersembunyi di dalam kotak.,그 고양이는 상자 안에 숨어 있다.
di atas,위에,Buku itu ada di atas meja.,그 책은 책상 위에 있다.
di bawah,아래에,Sepatunya ada di bawah tempat tidur.,신발은 침대 아래에 있다.
di depan,앞에,Parkir di depan gedung saja.,건물 앞에 주차하면 돼.
di belakang,뒤에,Ada taman kecil di belakang rumah.,집 뒤에 작은 정원이 있다.
di sebelah,옆에/곁에,Minimarket ada di sebelah apotek.,편의점은 약국 옆에 있다.
juga,~도/또한,Saya juga ingin ikut pergi bersama kalian.,나도 너희와 함께 가고 싶다.
pun,~도/~조차,Dia pun tidak tahu jawabannya.,그조차도 그 답을 몰랐다.
malah,오히려/도리어,Bukannya minta maaf malah dia marah.,사과하기는커녕 오히려 그는 화를 냈다.
justru,오히려/바로,Justru karena sulit itulah kita harus berusaha lebih keras.,바로 어렵기 때문에 우리는 더 열심히 노력해야 한다.
padahal,사실은/~임에도 불구하고,Dia bilang tidak lapar padahal perutnya berbunyi.,그는 배고프지 않다고 했지만 사실 배에서 소리가 났다.
bahkan,심지어/게다가,Dia tidak makan bahkan tidak minum seharian.,그는 하루 종일 먹지도 심지어 마시지도 않았다.
apalagi,더욱이/게다가,Dia tidak suka sayur apalagi buah.,그는 채소를 싫어하고 더욱이 과일도 싫어한다.
lagipula,게다가/또한,Lagipula kita tidak punya cukup waktu untuk itu.,게다가 우리는 그것을 위한 충분한 시간이 없다.
namun,그러나/하지만,Dia bekerja keras namun hasilnya belum memuaskan.,그는 열심히 일했으나 결과는 아직 만족스럽지 않다.
walaupun,~임에도 불구하고/비록,Walaupun hujan dia tetap pergi bekerja.,비가 옴에도 불구하고 그는 여전히 출근했다.
selain itu,그 외에/게다가,Selain itu ada beberapa hal yang perlu diperhatikan.,그 외에도 주의해야 할 몇 가지가 있다.
di samping itu,그뿐만 아니라/이와 함께,Di samping itu kita juga harus menjaga kesehatan.,그뿐만 아니라 우리는 건강도 챙겨야 한다.
oleh karena itu,그러므로/따라서,Oleh karena itu kita harus segera mengambil tindakan.,그러므로 우리는 즉시 조치를 취해야 한다.
dengan demikian,그러므로/이로써,Dengan demikian masalah ini dianggap selesai.,이로써 이 문제는 해결된 것으로 간주된다.
sebaliknya,반대로/오히려,Sebaliknya kondisi di daerah pedesaan justru membaik.,반대로 농촌 지역의 상황은 오히려 나아졌다.
di lain pihak,반면에/한편으로,Di lain pihak ada juga yang tidak setuju.,반면에 동의하지 않는 사람들도 있다.
sehubungan dengan itu,그와 관련하여,Sehubungan dengan itu kami ingin meminta penjelasan lebih lanjut.,그와 관련하여 우리는 추가 설명을 요청하고 싶다.
bagaimanapun,어쨌든/어떻든 간에,Bagaimanapun kita harus tetap berusaha.,어쨌든 우리는 계속 노력해야 한다.
sungguhpun,비록 ~일지라도,Sungguhpun berat dia tetap menjalaninya dengan ikhlas.,비록 힘들지라도 그는 여전히 진심으로 감당했다.
kendati,비록/~에도 불구하고,Kendati gagal dia tidak menyerah.,비록 실패했음에도 그는 포기하지 않았다.
meski,비록/~이지만,Meski sibuk dia selalu menyempatkan waktu untuk keluarga.,비록 바쁘지만 그는 항상 가족을 위해 시간을 낸다.
meskipun,비록 ~이지만/~임에도,Meskipun hujan deras pertandingan tetap berlangsung.,비록 폭우가 내리지만 경기는 계속 진행되었다.
toh,어차피/결국,Toh semua usaha itu tidak sia-sia.,어차피 그 모든 노력은 헛되지 않았다.
terlebih lagi,더욱이/특히,Terlebih lagi kita harus bersyukur atas berkat ini.,더욱이 우리는 이 축복에 감사해야 한다.
di,~에/~에서 (장소),Saya menunggu di depan toko itu.,저는 그 가게 앞에서 기다립니다.
ke,~로/~에 (방향),Besok saya pergi ke Bandung.,내일 저는 반둥에 갑니다.
dari,~에서/~로부터,Surat ini datang dari temanku.,이 편지는 내 친구에게서 왔다.
pada,~에 (시간·대상),Rapat dimulai pada pukul sembilan.,회의는 아홉 시에 시작합니다.
kepada,~에게 (사람),Berikan buku ini kepada gurumu.,이 책을 선생님께 드려라.
untuk,~를 위해/~용,Hadiah ini untuk ibu saya.,이 선물은 제 어머니를 위한 것입니다.
dengan,~와 함께/~로,Saya pergi dengan adik saya.,저는 동생과 함께 갑니다.
oleh,~에 의해 (피동),Surat itu ditulis oleh ayahnya.,그 편지는 그의 아버지가 썼다.
tentang,~에 관하여,Kami berbicara tentang rencana besok.,우리는 내일 계획에 대해 이야기했다.
sampai,~까지,Saya menunggu sampai sore.,저는 저녁까지 기다렸습니다.
sejak,~이래로/~부터,Dia tinggal di sini sejak kecil.,그는 어릴 때부터 여기 산다.
antara,~사이에,Jarak antara dua kota itu jauh.,그 두 도시 사이의 거리는 멀다.
selama,~하는 동안,Selama liburan saya membaca banyak buku.,방학 동안 저는 책을 많이 읽었습니다.
tanpa,~없이,Dia pergi tanpa berkata apa-apa.,그는 아무 말 없이 떠났다.
menurut,~에 따르면,Menurut berita besok akan hujan.,뉴스에 따르면 내일 비가 온다.
terhadap,~에 대하여,Sikapnya terhadap pekerjaan sangat serius.,일에 대한 그의 태도는 매우 진지하다.
demi,~를 위하여,Dia bekerja keras demi keluarganya.,그는 가족을 위해 열심히 일한다.
seperti,~처럼/~같이,Wajahnya mirip seperti ayahnya.,그의 얼굴은 아버지를 닮았다.
bagi,~에게 있어서,Kesehatan itu penting bagi semua orang.,건강은 모든 사람에게 중요하다.
melalui,~을 통해,Kami berkenalan melalui seorang teman.,우리는 친구를 통해 알게 되었다.
mengenai,~에 관한,Dia bertanya mengenai harga tiket.,그는 표 가격에 관해 물었다.
berdasarkan,~에 근거하여,Keputusan itu diambil berdasarkan hasil rapat.,그 결정은 회의 결과에 근거해 내려졌다.
daripada,~보다 (비교),Naik kereta lebih cepat daripada naik bus.,기차가 버스보다 빠릅니다.
buat,~를 위해 (구어),"Ini buat kamu, ambil saja.","이거 너 주려고, 그냥 가져."
ke arah,~쪽으로,Mobil itu melaju ke arah utara.,그 차는 북쪽으로 달렸다.
di samping,~옆에,Ada apotek di samping rumah sakit.,병원 옆에 약국이 있다.
di antara,~사이에,Dia duduk di antara kedua temannya.,그는 두 친구 사이에 앉았다.
di sekitar,~주변에,Banyak warung di sekitar kampus.,캠퍼스 주변에 식당이 많다.
di seberang,~건너편에,Bank itu ada di seberang jalan.,그 은행은 길 건너편에 있다.
di tengah,~가운데에,Ada meja besar di tengah ruangan.,방 가운데에 큰 탁자가 있다.
di pinggir,~가장자리에,Kami duduk di pinggir pantai.,우리는 해변 가에 앉았다.
di ujung,~끝에,Kamar mandi ada di ujung lorong.,화장실은 복도 끝에 있다.
di balik,~뒤편에,Matahari bersembunyi di balik awan.,해가 구름 뒤에 숨었다.
di hadapan,~앞에서 (면전),Dia berdoa di hadapan Tuhan.,그는 하나님 앞에서 기도했다.
di dekat,~가까이에,Rumah saya di dekat stasiun kereta.,제 집은 기차역 가까이에 있습니다.
dan,그리고/~와,Saya membeli roti dan susu.,저는 빵과 우유를 샀습니다.
atau,또는/혹은,Kamu mau teh atau kopi?,차 마실래 커피 마실래?
tetapi,그러나 (격식),Dia miskin tetapi sangat murah hati.,그는 가난하지만 매우 인심이 좋다.
tapi,그렇지만 (구어),Aku mau ikut tapi tidak ada waktu.,나도 가고 싶은데 시간이 없어.
karena,~때문에,Dia tidak masuk karena sakit.,그는 아파서 나오지 않았다.
sebab,~까닭에,Sebab hujan deras acara itu dibatalkan.,비가 세차게 와서 그 행사는 취소되었다.
jika,만약 ~라면,Jika ada waktu mampirlah ke rumah.,시간이 있으면 집에 들르세요.
kalau,만약 ~면 (구어),Kalau capek istirahat dulu saja.,피곤하면 먼저 좀 쉬어.
apabila,~할 경우에,Apabila terjadi masalah hubungi saya.,문제가 생기면 저에게 연락하세요.
seandainya,만약 ~라면 (가정),Seandainya saya kaya saya akan membantu banyak orang.,만약 제가 부자라면 많은 사람을 돕겠습니다.
supaya,~하도록,Berangkat lebih awal supaya tidak terlambat.,늦지 않도록 일찍 출발해라.
agar,~하기 위해,Kami berdoa agar keluarga kami sehat.,우리 가족이 건강하도록 기도합니다.
sehingga,그래서/~하게 되어,Dia belajar keras sehingga lulus dengan baik.,그는 열심히 공부해서 좋은 성적으로 졸업했다.
ketika,~할 때,Ketika saya kecil kami tinggal di desa.,제가 어렸을 때 우리는 시골에 살았습니다.
sewaktu,~하던 때에,Sewaktu kuliah dia bekerja sambil belajar.,대학 다닐 때 그는 일하면서 공부했다.
