baik,좋은/착한,Dia adalah orang yang baik.,그는 좋은 사람이다.
buruk,나쁜,Cuaca hari ini sangat buruk.,오늘 날씨가 매우 나쁘다.
besar,큰,Rumah itu sangat besar.,그 집은 매우 크다.
kecil,작은,Kucing itu sangat kecil.,그 고양이는 매우 작다.
panjang,긴,Sungai ini sangat panjang.,이 강은 매우 길다.
pendek,짧은/키가 작은,Rambutnya sangat pendek.,그녀의 머리카락은 매우 짧다.
tinggi,높은/키가 큰,Gedung itu sangat tinggi.,그 건물은 매우 높다.
lebar,넓은,Jalan ini sangat lebar.,이 길은 매우 넓다.
sempit,좁은,Lorong itu sangat sempit.,그 골목은 매우 좁다.
tebal,두꺼운,Buku ini sangat tebal.,이 책은 매우 두껍다.
tipis,얇은,Kertas ini sangat tipis.,이 종이는 매우 얇다.
merah,빨간,Mawar itu berwarna merah.,그 장미는 빨간색이다.
biru,파란,Langit hari ini sangat biru.,오늘 하늘이 매우 파랗다.
hijau,초록,Daun pohon itu berwarna hijau.,그 나무의 잎은 초록색이다.
kuning,노란,Bunga itu berwarna kuning.,그 꽃은 노란색이다.
putih,하얀,Salju itu berwarna putih.,눈은 하얀색이다.
hitam,검은,Kucing hitam itu lucu sekali.,그 검은 고양이는 정말 귀엽다.
coklat,갈색,Anjingnya berbulu coklat.,그 개는 갈색 털을 가졌다.
abu-abu,회색,Langit terlihat abu-abu sebelum hujan.,비가 오기 전에 하늘이 회색으로 보인다.
ungu,보라색,Bunga lavender berwarna ungu.,라벤더 꽃은 보라색이다.
oranye,주황색,Jeruk itu berwarna oranye.,그 귤은 주황색이다.
panas,뜨거운/더운,Cuaca di sini sangat panas.,이곳 날씨는 매우 덥다.
dingin,차가운/추운,Air ini sangat dingin.,이 물은 매우 차갑다.
hangat,따뜻한,Sup ini masih hangat.,이 수프는 아직 따뜻하다.
sejuk,시원한,Angin di pegunungan terasa sejuk.,산의 바람이 시원하게 느껴진다.
lembab,습한,Udara di sini sangat lembab.,이곳 공기는 매우 습하다.
kering,건조한,Kulit saya terasa kering.,내 피부가 건조하게 느껴진다.
lama,오래된,Gedung itu sudah sangat lama.,그 건물은 이미 매우 오래되었다.
bersih,깨끗한,Kamar ini sangat bersih.,이 방은 매우 깨끗하다.
kotor,더러운,Bajunya kotor setelah bermain.,그의 옷은 놀고 나서 더러워졌다.
rapi,깔끔한/정돈된,Meja kerjanya selalu rapi.,그의 책상은 항상 깔끔하다.
berantakan,어수선한/지저분한,Kamarnya sangat berantakan.,그의 방은 매우 어수선하다.
