menyuruh,명령하다/시키다,Ibu menyuruh saya untuk pergi ke pasar.,어머니가 나에게 시장에 가라고 시켰다.
menyampaikan,전달하다/전하다,Ia menyampaikan pesan penting kepada jemaatnya.,그는 중요한 메시지를 회중에게 전달했다.
kira,생각/추측,Saya kira dia sudah tiba.,나는 그가 이미 도착했다고 생각한다.
istana,궁궐/왕궁,Raja tinggal di istana yang megah.,왕은 웅장한 궁궐에 살고 있다.
terluput,피하다/면하다,Kita tidak bisa terluput dari pengadilan Tuhan.,우리는 하나님의 심판을 피할 수 없다.
sekalipun,비록 ~일지라도,"Sekalipun susah, aku tetap percaya kepada Tuhan.",비록 힘들지라도 나는 여전히 하나님을 신뢰한다.
timbul,생기다/떠오르다,Harapan baru timbul dalam hatinya.,새로운 희망이 그의 마음에 생겨났다.
pertolongan,도움/구원,Pertolonganku datang dari Tuhan.,나의 도움은 하나님께로부터 온다.
kelepasan,구원/해방,Tuhan memberikan kelepasan bagi umat-Nya.,하나님은 그의 백성에게 구원을 주신다.
pihak,측/편,Tuhan ada di pihak kita.,하나님은 우리 편이시다.
kaum,민족/무리,Kaum yang berjalan dalam kegelapan telah melihat terang.,어둠 속에 걷던 백성이 빛을 보았다.
binasa,멸망하다/죽다,Siapa yang percaya kepada-Nya tidak akan binasa.,그를 믿는 자는 멸망하지 않을 것이다.
beroleh,얻다/받다,Kita beroleh anugerah dari Tuhan setiap hari.,우리는 매일 하나님께로부터 은혜를 받는다.
ratu,여왕,Ratu Ester berani menghadap raja.,에스더 여왕은 용감하게 왕 앞에 나아갔다.
kenyataan,현실/사실,Kebangkitan Yesus adalah kenyataan yang tidak bisa disangkal.,예수님의 부활은 부인할 수 없는 사실이다.
sempurna,완전한/완벽한,Kasih Allah itu sempurna.,하나님의 사랑은 완전하다.
budak,노예/종,Dulu kita adalah budak dosa.,우리는 예전에 죄의 종이었다.
yatim,고아(아버지 없는),Tuhan melindungi anak yatim.,하나님은 아버지 없는 고아를 보호하신다.
piatu,고아(어머니 없는),Anak piatu itu dijaga oleh bibinya.,어머니 없는 그 고아는 이모의 보살핌을 받았다.
sepupu,사촌,Mordekhai adalah sepupu Ester.,모르드개는 에스더의 사촌이었다.
impikan,꿈꾸다/바라다,Kita impikan dunia yang penuh damai.,우리는 평화로 가득한 세상을 꿈꾼다.
perintah,명령/계명,Taatilah perintah Tuhan dengan segenap hati.,온 마음으로 하나님의 명령에 순종하라.
inti,핵심/본질,Inti dari Injil adalah kasih Allah.,복음의 핵심은 하나님의 사랑이다.
semata,오직/단지,Hidupku semata untuk kemuliaan Tuhan.,나의 삶은 오직 하나님의 영광을 위한 것이다.
dirancang,설계되다/계획되다,Semuanya dirancang oleh Tuhan untuk kebaikan kita.,모든 것은 우리의 유익을 위해 하나님께 계획되었다.
semula,처음/원래,Kembalilah kepada kasih semula.,처음 사랑으로 돌아가라.
hari demi hari,날마다/하루하루,Hari demi hari iman kita harus bertumbuh.,날마다 우리의 믿음은 자라야 한다.
ditetapkan,정해지다/결정되다,Waktu yang ditetapkan Tuhan pasti tiba.,하나님께서 정하신 때가 반드시 올 것이다.
memandang,바라보다/보다,Memandang salib membuat hati saya tenang.,십자가를 바라보면 마음이 평안해진다.
semata-mata,순전히/오직,Ini semata-mata anugerah dari Tuhan.,이것은 순전히 하나님의 은혜이다.
tentu,물론/반드시,Tentu Tuhan tidak akan meninggalkan kita.,물론 하나님은 우리를 떠나지 않으실 것이다.
memutuskan,결정하다/결심하다,Ia memutuskan untuk mengikut Yesus sepenuh hati.,그는 온 마음으로 예수를 따르기로 결심했다.
mengemas,짐을 싸다/정리하다,Dia mengemas barangnya dan pergi.,그는 짐을 싸서 떠났다.
berpamitan,작별 인사하다,Abraham berpamitan kepada keluarganya sebelum pergi.,아브라함은 떠나기 전에 가족에게 작별 인사를 했다.
umat,백성/민족,Tuhan mengasihi umat-Nya.,하나님은 그의 백성을 사랑하신다.
mendiami,거주하다/살다,Roh Kudus mendiami hati orang percaya.,성령은 믿는 자의 마음 속에 거하신다.
muka,얼굴/앞,Carilah muka Tuhan selalu.,항상 하나님의 얼굴을 구하라.
menentukan,결정하다/정하다,Tuhan yang menentukan langkah-langkah kita.,하나님께서 우리의 발걸음을 정하신다.
musim-musim,계절들,Ada musim-musim dalam kehidupan yang Tuhan tetapkan.,하나님이 정하신 삶의 계절들이 있다.
batas-batas,경계들,Tuhan telah menentukan batas-batas tempat tinggal kita.,하나님은 우리 거주지의 경계들을 정하셨다.
kediaman,거처/주거지,Sorga adalah kediaman kekal kita.,천국은 우리의 영원한 거처이다.
menyia-nyiakan,낭비하다/헛되이 쓰다,Jangan menyia-nyiakan anugerah yang Tuhan berikan.,하나님이 주신 은혜를 낭비하지 마라.
persiapan,준비,Kita perlu membuat persiapan yang baik.,우리는 충분한 준비를 해야 한다.
menyelamatkan,구원하다/구하다,Yesus datang untuk menyelamatkan orang yang berdosa.,예수님은 죄인을 구원하러 오셨다.
kelak,나중에/훗날,Kelak kita akan melihat wajah Tuhan.,훗날 우리는 하나님의 얼굴을 뵐 것이다.
membentuk,형성하다/만들다,Penderitaan membentuk karakter kita.,고난은 우리의 성품을 형성한다.
menoleh,돌아보다/뒤돌아보다,Jangan menoleh ke belakang seperti istri Lot.,롯의 아내처럼 뒤를 돌아보지 마라.
mempertahankan,유지하다/지키다,Kita harus mempertahankan iman kita.,우리는 믿음을 지켜야 한다.
lingkungan,환경/주변,Lingkungan yang baik membantu pertumbuhan rohani.,좋은 환경은 영적 성장을 돕는다.
meski,비록/~임에도,"Meski gagal, ia tidak menyerah.",비록 실패했지만 그는 포기하지 않았다.
jemu-jemu,싫증/지겨움,Kita tidak boleh jemu-jemu dalam berbuat baik.,우리는 선을 행하는 데 싫증을 내서는 안 된다.
apabila,만약/~할 때,"Apabila kamu berseru kepada-Ku, Aku akan menjawab.",네가 나를 부를 때 내가 응답할 것이다.
menuai,수확하다/거두다,Kita akan menuai apa yang kita tanam.,우리는 심은 것을 거둘 것이다.
habiskan,다 쓰다/소비하다,Jangan habiskan waktumu untuk hal yang sia-sia.,헛된 일에 시간을 다 써버리지 마라.
menumpuk,쌓다/축적하다,Jangan menumpuk harta di bumi saja.,땅에만 재물을 쌓아 두지 마라.
keberanian,용기,Tuhan memberikan keberanian kepada Ester.,하나님은 에스더에게 용기를 주셨다.
pula,또한/더욱이,Ia kuat dan pula setia.,그는 강하고 또한 신실하다.
sabar,인내하다/참다,Kita harus sabar dalam segala keadaan.,우리는 모든 상황에서 인내해야 한다.
dilayani,섬김을 받다,"Ia datang bukan untuk dilayani, tetapi untuk melayani.",그는 섬김을 받으러 온 것이 아니라 섬기러 오셨다.
modal,자본/밑천,Iman adalah modal utama dalam pelayanan.,믿음은 사역의 가장 중요한 밑천이다.
terlintas,스치다/떠오르다,Sebuah pikiran terlintas di benakku.,한 가지 생각이 내 마음에 스쳐갔다.
bermakna,의미 있다/뜻깊다,Hiduplah dengan cara yang bermakna bagi sesama.,다른 사람에게 의미 있는 방식으로 살아가라.
pijakan,발판/기반,Firman Tuhan adalah pijakan hidup kita.,하나님의 말씀은 우리 삶의 기반이다.
babak,단계/막,Kita memasuki babak baru dalam hidup.,우리는 삶의 새로운 단계에 접어들고 있다.
