Tuhan,주님/하나님,Tuhan adalah gembala kita.,주님은 우리의 목자이시다.
Allah,하나님,Allah mengasihi seluruh umat manusia.,하나님은 모든 인류를 사랑하신다.
Yesus,예수,Yesus adalah jalan kebenaran dan hidup.,예수님은 길이요 진리요 생명이시다.
Kristus,그리스도,Yesus Kristus adalah Tuhan dan Juruselamat kita.,예수 그리스도는 우리의 주님이시요 구원자이시다.
Roh Kudus,성령,Roh Kudus memimpin kita kepada kebenaran.,성령님은 우리를 진리로 인도하신다.
Alkitab,성경,Alkitab adalah firman Allah yang hidup.,성경은 살아 있는 하나님의 말씀이다.
firman,말씀,Firman Tuhan adalah pelita bagi kakiku.,주님의 말씀은 내 발의 등불이다.
iman,믿음,Tanpa iman mustahil orang berkenan kepada Allah.,믿음이 없이는 하나님을 기쁘시게 할 수 없다.
injil,복음,Injil adalah kabar baik bagi semua orang.,복음은 모든 사람에게 좋은 소식이다.
keselamatan,구원,Keselamatan hanya ada di dalam Yesus.,구원은 오직 예수 안에만 있다.
dosa,죄,Semua orang telah berbuat dosa.,모든 사람이 죄를 범하였다.
pengampunan,용서,Pengampunan dosa tersedia bagi semua orang.,죄의 용서는 모든 사람에게 열려 있다.
berkat,축복,Tuhan selalu memberikan berkat kepada umat-Nya.,주님은 항상 자기 백성에게 축복을 주신다.
rahmat,은혜/자비,Rahmat Tuhan baru setiap pagi.,주님의 은혜는 아침마다 새롭다.
anugerah,은혜,Kita diselamatkan oleh anugerah Allah semata.,우리는 오직 하나님의 은혜로 구원받는다.
pengorbanan,희생/헌신,Pengorbanan Yesus di kayu salib menebus dosa kita.,십자가에서의 예수님의 희생이 우리 죄를 속량했다.
salib,십자가,Salib adalah simbol kasih Allah yang terbesar.,십자가는 하나님의 가장 큰 사랑의 상징이다.
kebangkitan,부활,Kebangkitan Yesus adalah dasar iman Kristen.,예수님의 부활은 기독교 믿음의 토대이다.
pertobatan,회개,Pertobatan adalah langkah pertama menuju Tuhan.,회개는 하나님께 나아가는 첫 번째 걸음이다.
surga,천국/하늘,Surga adalah tempat bersama Tuhan selamanya.,천국은 주님과 영원히 함께하는 곳이다.
neraka,지옥,Neraka adalah tempat yang jauh dari hadirat Tuhan.,지옥은 주님의 임재에서 멀리 떨어진 곳이다.
nabi,선지자,Para nabi menyampaikan firman Tuhan kepada umat-Nya.,선지자들은 주님의 말씀을 백성에게 전했다.
rasul,사도,Para rasul menyebarkan injil ke seluruh dunia.,사도들은 온 세상에 복음을 전파했다.
gembala,목자,Tuhan adalah gembala yang baik bagi domba-domba-Nya.,주님은 자기 양들의 선한 목자이시다.
murid,제자,Para murid mengikuti Yesus ke mana pun Dia pergi.,제자들은 예수님이 가시는 곳마다 따라갔다.
malaikat,천사,Malaikat adalah utusan Allah yang melayani umat-Nya.,천사는 하나님의 사자로 백성을 섬긴다.
iblis,마귀/사탄,Iblis berusaha menjauhkan kita dari Tuhan.,마귀는 우리를 하나님께서 멀어지게 하려 한다.
hukum,율법,Hukum Taurat menunjukkan standar kekudusan Allah.,율법은 하나님의 거룩함의 기준을 보여 준다.
mujizat,기적,Yesus melakukan banyak mujizat selama pelayanan-Nya.,예수님은 사역하시는 동안 많은 기적을 행하셨다.
bertobat,회개하다,Kita perlu bertobat dan kembali kepada Tuhan.,우리는 회개하고 주님께 돌아와야 한다.
mengampuni,용서하다,Kita harus mengampuni orang yang bersalah kepada kita.,우리는 우리에게 잘못한 사람을 용서해야 한다.
damai,평화/평강,Damai sejahtera Kristus menguasai hati kita.,그리스도의 평강이 우리 마음을 다스린다.
sukacita,기쁨,Sukacita sejati hanya ditemukan di dalam Tuhan.,참된 기쁨은 오직 주님 안에서만 발견된다.
kebenaran,진리/의,Yesus berkata Akulah jalan kebenaran dan hidup.,예수님은 나는 길이요 진리요 생명이라고 말씀하셨다.
kesetiaan,신실함/충성,Kesetiaan Allah tidak pernah goyah.,하나님의 신실하심은 결코 흔들리지 않는다.
ketaatan,순종,Ketaatan lebih berharga daripada korban sembelihan.,순종은 제사보다 더 귀하다.
kekudusan,성결/거룩,Kekudusan adalah karakter utama Allah.,거룩함은 하나님의 주된 성품이다.
daging,육체/육신,Firman itu menjadi daging dan tinggal di antara kita.,말씀이 육신이 되어 우리 가운데 거하셨다.
jiwa,영혼,Jiwa yang lelah akan mendapat ketenangan di dalam Tuhan.,지친 영혼은 주님 안에서 안식을 얻을 것이다.
rohani,영적인,Pertumbuhan rohani memerlukan doa dan firman.,영적 성장은 기도와 말씀을 필요로 한다.
kudus,거룩한,Tuhan itu kudus dan ajaib adanya.,주님은 거룩하시고 놀라우신 분이시다.
kerajaan Allah,하나님의 나라,Kerajaan Allah sudah dekat.,하나님의 나라가 가까이 왔다.
roh,영/영혼,Roh manusia diciptakan untuk menyembah Tuhan.,인간의 영은 하나님을 예배하도록 창조되었다.
terang,빛,Yesus adalah terang dunia.,예수님은 세상의 빛이시다.
kegelapan,어둠,Terang Kristus mengalahkan kegelapan.,그리스도의 빛이 어둠을 이긴다.
buah Roh,성령의 열매,Buah Roh adalah kasih sukacita dan damai sejahtera.,성령의 열매는 사랑과 기쁨과 화평이다.
tobat,회개/뉘우침,Tobat yang sungguh menghasilkan perubahan hidup.,진정한 회개는 삶의 변화를 가져온다.
beriman,믿음을 갖다,Kita harus beriman kepada Yesus Kristus.,우리는 예수 그리스도를 믿어야 한다.
Mesias,메시아,Yesus adalah Mesias yang dijanjikan Allah.,예수님은 하나님이 약속하신 메시아이시다.
Perjanjian Lama,구약,Perjanjian Lama menceritakan sejarah bangsa Israel.,구약은 이스라엘 민족의 역사를 기록하고 있다.
