Tuhan,주님/하나님,Tuhan adalah gembala kita.,주님은 우리의 목자이시다.
Allah,하나님,Allah mengasihi seluruh umat manusia.,하나님은 모든 인류를 사랑하신다.
Yesus,예수,Yesus adalah jalan kebenaran dan hidup.,예수님은 길이요 진리요 생명이시다.
Kristus,그리스도,Yesus Kristus adalah Tuhan dan Juruselamat kita.,예수 그리스도는 우리의 주님이시요 구원자이시다.
Roh Kudus,성령,Roh Kudus memimpin kita kepada kebenaran.,성령님은 우리를 진리로 인도하신다.
Alkitab,성경,Alkitab adalah firman Allah yang hidup.,성경은 살아 있는 하나님의 말씀이다.
firman,말씀,Firman Tuhan adalah pelita bagi kakiku.,주님의 말씀은 내 발의 등불이다.
iman,믿음,Tanpa iman mustahil orang berkenan kepada Allah.,믿음이 없이는 하나님을 기쁘시게 할 수 없다.
doa,기도,Doa adalah nafas kehidupan orang percaya.,기도는 믿는 자의 생명의 호흡이다.
kasih,사랑,Kasih Allah tidak pernah berakhir.,하나님의 사랑은 결코 끝이 없다.
gereja,교회,Gereja adalah tubuh Kristus.,교회는 그리스도의 몸이다.
injil,복음,Injil adalah kabar baik bagi semua orang.,복음은 모든 사람에게 좋은 소식이다.
keselamatan,구원,Keselamatan hanya ada di dalam Yesus.,구원은 오직 예수 안에만 있다.
dosa,죄,Semua orang telah berbuat dosa.,모든 사람이 죄를 범하였다.
pengampunan,용서,Pengampunan dosa tersedia bagi semua orang.,죄의 용서는 모든 사람에게 열려 있다.
penyembahan,예배/경배,Penyembahan sejati berasal dari hati.,참된 예배는 마음에서 나온다.
ibadah,예배/신앙 생활,Ibadah minggu adalah saat yang kudus.,주일 예배는 거룩한 시간이다.
puji-pujian,찬양,Puji-pujian membuka hati kita kepada Tuhan.,찬양은 우리의 마음을 주님께 열어 준다.
berkat,축복,Tuhan selalu memberikan berkat kepada umat-Nya.,주님은 항상 자기 백성에게 축복을 주신다.
rahmat,은혜/자비,Rahmat Tuhan baru setiap pagi.,주님의 은혜는 아침마다 새롭다.
anugerah,은혜,Kita diselamatkan oleh anugerah Allah semata.,우리는 오직 하나님의 은혜로 구원받는다.
pengorbanan,희생/헌신,Pengorbanan Yesus di kayu salib menebus dosa kita.,십자가에서의 예수님의 희생이 우리 죄를 속량했다.
salib,십자가,Salib adalah simbol kasih Allah yang terbesar.,십자가는 하나님의 가장 큰 사랑의 상징이다.
kebangkitan,부활,Kebangkitan Yesus adalah dasar iman Kristen.,예수님의 부활은 기독교 믿음의 토대이다.
penebusan,속죄/구속,Penebusan dosa kita telah dibayar lunas oleh Yesus.,우리 죄의 속죄는 예수님에 의해 완전히 치러졌다.
pembenaran,칭의,Pembenaran terjadi ketika kita percaya kepada Yesus.,칭의는 우리가 예수님을 믿을 때 일어난다.
pengudusan,성화,Pengudusan adalah proses menjadi semakin serupa Kristus.,성화는 점점 그리스도를 닮아 가는 과정이다.
pertobatan,회개,Pertobatan adalah langkah pertama menuju Tuhan.,회개는 하나님께 나아가는 첫 번째 걸음이다.
baptisan,세례,Baptisan adalah tanda menjadi anggota jemaat Kristus.,세례는 그리스도의 교회 구성원이 되는 표시이다.
perjamuan kudus,성찬,Perjamuan kudus mengingatkan kita akan pengorbanan Kristus.,성찬은 우리에게 그리스도의 희생을 기억하게 한다.
Tritunggal,삼위일체,Tritunggal adalah doktrin utama iman Kristen.,삼위일체는 기독교 신앙의 핵심 교리이다.
kekekalan,영원,Kita percaya akan kehidupan yang penuh kekekalan.,우리는 영원한 생명을 믿는다.
surga,천국/하늘,Surga adalah tempat bersama Tuhan selamanya.,천국은 주님과 영원히 함께하는 곳이다.
neraka,지옥,Neraka adalah tempat yang jauh dari hadirat Tuhan.,지옥은 주님의 임재에서 멀리 떨어진 곳이다.
penghakiman,심판,Setiap orang akan menghadapi penghakiman Tuhan.,모든 사람은 주님의 심판을 맞이할 것이다.
nabi,선지자,Para nabi menyampaikan firman Tuhan kepada umat-Nya.,선지자들은 주님의 말씀을 백성에게 전했다.
rasul,사도,Para rasul menyebarkan injil ke seluruh dunia.,사도들은 온 세상에 복음을 전파했다.
gembala,목자,Tuhan adalah gembala yang baik bagi domba-domba-Nya.,주님은 자기 양들의 선한 목자이시다.
murid,제자,Para murid mengikuti Yesus ke mana pun Dia pergi.,제자들은 예수님이 가시는 곳마다 따라갔다.
malaikat,천사,Malaikat adalah utusan Allah yang melayani umat-Nya.,천사는 하나님의 사자로 백성을 섬긴다.
iblis,마귀/사탄,Iblis berusaha menjauhkan kita dari Tuhan.,마귀는 우리를 하나님께서 멀어지게 하려 한다.
perjanjian,언약,Allah membuat perjanjian dengan umat-Nya.,하나님은 자기 백성과 언약을 맺으셨다.
hukum,율법,Hukum Taurat menunjukkan standar kekudusan Allah.,율법은 하나님의 거룩함의 기준을 보여 준다.
nubuatan,예언,Nubuatan tentang Yesus sudah digenapi.,예수님에 관한 예언은 이미 성취되었다.
mujizat,기적,Yesus melakukan banyak mujizat selama pelayanan-Nya.,예수님은 사역하시는 동안 많은 기적을 행하셨다.
berdoa,기도하다,Kita harus berdoa tanpa henti.,우리는 쉬지 않고 기도해야 한다.
bersyukur,감사하다,Kita harus bersyukur dalam segala keadaan.,우리는 모든 상황에서 감사해야 한다.
memuji,찬양하다,Mari kita memuji Tuhan dengan segenap hati.,온 마음으로 주님을 찬양하자.
percaya,믿다/신뢰하다,Percayalah kepada Tuhan dengan segenap hatimu.,온 마음으로 주님을 신뢰하라.
bertobat,회개하다,Kita perlu bertobat dan kembali kepada Tuhan.,우리는 회개하고 주님께 돌아와야 한다.
