duduk,앉다,Silakan duduk di kursi ini.,이 의자에 앉으세요.
berdiri,서다,Semua orang berdiri saat lagu kebangsaan.,국가가 울릴 때 모두 일어섰다.
bermain,놀다,Anak-anak bermain di halaman rumah.,아이들은 집 마당에서 논다.
membawa,가져오다,Tolong bawa tas ini ke ruang tamu.,이 가방을 거실로 가져다 주세요.
mengambil,가져가다/집다,Dia mengambil buku dari rak.,그는 선반에서 책을 집었다.
memberikan,주다,Ibu memberikan hadiah kepada anaknya.,어머니는 아이에게 선물을 주었다.
menerima,받다,Saya menerima paket dari teman.,나는 친구에게서 소포를 받았다.
membuka,열다,Tolong buka jendela itu.,저 창문을 열어 주세요.
menutup,닫다,Dia menutup pintu dengan pelan.,그는 문을 조용히 닫았다.
mencari,찾다,Saya mencari kunci yang hilang.,나는 잃어버린 열쇠를 찾고 있다.
membantu,돕다,Dia selalu membantu orang yang kesulitan.,그는 항상 어려움에 처한 사람을 돕는다.
berusaha,노력하다,Dia terus berusaha meski gagal berkali-kali.,그는 여러 번 실패해도 계속 노력한다.
mencoba,시도하다,Saya ingin mencoba masakan baru ini.,나는 이 새로운 요리를 시도해 보고 싶다.
berhasil,성공하다,Akhirnya dia berhasil lulus ujian.,결국 그는 시험에 합격했다.
memulai,시작하다,Mari kita memulai rapat sekarang.,지금 회의를 시작합시다.
menyelesaikan,끝내다/완성하다,Dia menyelesaikan tugasnya tepat waktu.,그는 과제를 제때 완성했다.
berhenti,멈추다/그만두다,Dia berhenti merokok tahun lalu.,그는 작년에 담배를 끊었다.
melanjutkan,계속하다,Silakan melanjutkan cerita Anda.,이야기를 계속해 주세요.
menggunakan,사용하다,Saya menggunakan aplikasi ini setiap hari.,나는 매일 이 앱을 사용한다.
membuat,만들다,Dia membuat kue untuk ulang tahun adiknya.,그는 동생 생일을 위해 케이크를 만들었다.
membangun,짓다/건설하다,Mereka sedang membangun jembatan baru.,그들은 새 다리를 건설하고 있다.
memperbaiki,고치다/수리하다,Ayah memperbaiki sepeda yang rusak.,아버지는 망가진 자전거를 고쳤다.
mengirim,보내다,Saya mengirim pesan kepada ibuku.,나는 어머니에게 메시지를 보냈다.
berpisah,헤어지다,Mereka berpisah di bandara dengan sedih.,그들은 공항에서 슬프게 헤어졌다.
menunggu,기다리다,Saya menunggu bus selama setengah jam.,나는 버스를 30분 동안 기다렸다.
menyiapkan,준비하다,Dia menyiapkan makan malam untuk keluarganya.,그는 가족을 위해 저녁 식사를 준비했다.
mengunjungi,방문하다,Kami mengunjungi nenek setiap bulan.,우리는 매달 할머니를 방문한다.
mengikuti,따르다/참가하다,Saya mengikuti kelas yoga setiap Selasa.,나는 매주 화요일에 요가 수업에 참가한다.
mengangkat,들어 올리다,Dia mengangkat koper berat itu sendirian.,그는 무거운 트렁크를 혼자 들어 올렸다.
meletakkan,내려놓다/놓다,Tolong letakkan buku itu di meja.,그 책을 책상 위에 놓아 주세요.
memegang,잡다/쥐다,Dia memegang tangan anaknya erat-erat.,그는 아이의 손을 꼭 잡았다.
melepaskan,놓아주다/풀다,Dia melepaskan balon ke langit.,그는 풍선을 하늘로 놓아주었다.
mendorong,밀다,Tolong dorong pintu itu ke dalam.,그 문을 안쪽으로 밀어 주세요.
menarik,당기다,Dia menarik napas dalam-dalam.,그는 심호흡을 했다.
memukul,때리다,Dia memukul bola dengan raket.,그는 라켓으로 공을 쳤다.
menendang,차다,Pemain itu menendang bola ke gawang.,그 선수는 골대를 향해 공을 찼다.
melempar,던지다,Anak itu melempar bola ke tembok.,그 아이는 벽을 향해 공을 던졌다.
menangkap,잡다/받다,Dia menangkap bola dengan kedua tangan.,그는 두 손으로 공을 잡았다.
memotong,자르다,Ibu memotong sayuran untuk sup.,어머니는 수프를 위해 채소를 잘랐다.
menyimpan,보관하다/저장하다,Simpan makanan ini di kulkas.,이 음식을 냉장고에 보관하세요.
